Human adenovirus C	
Human adenovirus D	
Human adenovirus E	
Human adenovirus F	
Human astrovirus	1868658
Human coronavirus 229E	11137
Human coronavirus OC43	31631
Human enterovirus A	
Human enterovirus B	
Human enterovirus C	
Human enterovirus D	
Human herpesvirus 1	10298
Human herpesvirus 2	
Human herpesvirus 3	
Human herpesvirus 4	
Human herpesvirus 5	
Human herpesvirus 6	
Human herpesvirus 7	
Human herpesvirus 8	
Human immunodeficiency virus 1	11676
Human immunodeficiency virus 2	11709
Human metapneumovirus	162145
Human norovirus-Alphatron	
Human papillomavirus 1	
Human papillomavirus 10	
Human papillomavirus 16	
Human papillomavirus 18	333761
Human papillomavirus 2	
Human papillomavirus 26	
Human papillomavirus 32	
Human papillomavirus 34	
Human papillomavirus 4	10617
Human papillomavirus 41	
Human papillomavirus 48	
Human papillomavirus 49	
Human papillomavirus 5	333923
Human papillomavirus 50	
Human papillomavirus 53	
Human papillomavirus 54	
Human papillomavirus 6	
Human papillomavirus 60	
Human papillomavirus 61	
Human papillomavirus 63	
Human papillomavirus 7	
Human papillomavirus 71	120686
Human papillomavirus 88	
Human papillomavirus 9	10621
Human papillomavirus cand90	
Human papillomavirus cand92	
Human papillomavirus cand96	
Human parainfluenza virus 1	
Human parainfluenza virus 2	
Human parainfluenza virus 3	
Human parainfluenza virus 4	
Human parechovirus	
Human parvovirus B19	10798
Human picobirnavirus	145856
Human polyomavirus	
Human respiratory syncytial virus	
Human rhinovirus A	
Human rhinovirus B	
Human torovirus	67605
Ife virus	2547357
Ilheus virus	59563
Influenza A virus	11320
Influenza B virus	11520
Influenza C virus	11552
Ippy virus	
Irkut virus	
Isfahan virus	290008
Isla Vista virus	
Issyk-Kul virus	1453408
Itaporanga virus	629735
Jaagsiekte sheep retrovirus	11746
Japanaut virus	2547358
Japanese encephalitis virus	11072
JC polyomavirus	10632
Jugra virus	64309
Junin virus	
Jurona virus	
Jutiapa virus	64299
Kaeng Khoi virus	307164
Kairi virus	80939
Kasokero virus	1712570
Kern Canyon virus	380433
Keuraliba virus	380440
Khabarovsk virus	
Khujand virus	
Kilham rat virus	12441
Kokobera virus	44024
Koongol virus	35314
Kotonkan virus	318836
Koutango virus	44025
Kyasanur Forest disease virus	33743
Lactate dehydrogenase-elevating virus	11048
Lagos bat virus	
Laguna Negra virus	
Lake Victoria marburgvirus	
Langur virus	363747
Lapine parvovirus	
Lassa virus	
Latino virus	
Lebombo virus	40057
Ljungan virus	172314
Louping ill virus	11086
Lumpy skin disease virus	59509
Lymphocytic choriomeningitis virus	
Macaque simian foamy virus	338478
Machupo virus	
Macropodid herpesvirus 1	
Macropodid herpesvirus 2	
Madrid virus	348013
Main Drain virus	80938
Mammalian orthoreovirus	351073
Manzanilla virus	159139
Mapuera virus	
Maraba virus	1046251
Marituba virus	292278
Marmodid herpesvirus 1	
Mason-Pfizer monkey virus	11855
Mastomys natalensis papillomavirus	
Mayaro virus	59301
Measles virus	
Menangle virus	152219
Middelburg virus	11023
Minatitlan virus	35315
Mink astrovirus	
Mink calicivirus	154122
Mink enteric sapovirus	154121
Minute virus of mice	10794
Mobala virus	
Modoc virus	64300
Mokola virus	
Molluscum contagiosum virus	10279
Moloney murine sarcoma virus	11809
Monkeypox virus	10244
Montana myotis leukoencephalitis virus	64312
Mopeia virus	
Mosso das Pedras virus 78V3531	
Mount Elgon bat virus	380434
Mouse mammary tumor virus	11757
Mouse parvovirus 1	35340
Mucambo virus	60875
Muleshoe virus	
Mumps virus	
Murid herpesvirus 1	
Murid herpesvirus 2	
Murid herpesvirus 3	2419785
Murid herpesvirus 4	
Murid herpesvirus 5	
Murine adenovirus A	
Murine adenovirus B	
Murine hepatitis virus	11138
Murine leukemia virus	11786
Murine norovirus 1	223997
Murine pneumonia virus	
Murine pneumotropic virus	
Murine polyomavirus	
Murray Valley encephalitis virus	11079
Mustelid herpesvirus 1	
Myxoma virus	10273
Nariva virus	590647
Ndumu virus	59302
Nelson Bay orthoreovirus	118027
New York virus	
Newcastle disease virus	
Nipah virus	
Norwalk virus	11983
Ntaya virus	64292
Nyando virus	35316
O'nyong-nyong virus	2169701
Oita virus	1272953
Okola virus	2748254
Oliveros virus	
Omsk hemorrhagic fever virus	12542
Orf virus	10258
Oriboca virus	192199
Oropouche virus	118655
Orungo virus	40058
Ovine adenovirus A	
Ovine adenovirus D	
Ovine astrovirus	
Ovine herpesvirus 2	
Ovine papillomavirus 1	
Palyam virus	40059
Pampa virus	51317
Parainfluenza virus 5	2905673
Parana virus	2905947
Parapoxvirus of red deer in New Zealand	129728
Patois virus	35318
Peruvian horse sickness virus	356862
Peste-des-petits-ruminants virus	
Phnom Penh bat virus	64894
Phocid herpesvirus 1	
Phocine distemper virus	
Phocoena spinipinnis papillomavirus	
Pichinde virus	2905917
Pig-tailed macaque parvovirus	119755
Pirital virus	
Piry virus	11274
Pixuna virus	60876
Poliovirus	
Pongine herpesvirus 1	
Pongine herpesvirus 2	
Pongine herpesvirus 3	
Pongine herpesvirus 4	
Porcine adenovirus A	
Porcine adenovirus B	
Porcine adenovirus C	
Porcine astrovirus	
Porcine circovirus-1	
Porcine circovirus-2	
Porcine enteric sapovirus	106333
Porcine enterovirus A	
Porcine enterovirus B	
Porcine epidemic diarrhea virus	28295
Porcine hemagglutinating encephalomyelitis virus	42005
Porcine parvovirus	10796
Porcine reproductive and respiratory syndrome virus	28344
Porcine rubulavirus	3052562
Porcine teschovirus	
Porcine torovirus	237020
Porcine type-C oncovirus	369960
Possum adenovirus	
Powassan virus	11083
Primate T-lymphotropic virus 1	194440
Primate T-lymphotropic virus 2	194441
Primate T-lymphotropic virus 3	194443
Prospect Hill virus	
Pseudocowpox virus	129726
Puma lentivirus	12804
Punta Toro virus	11587
Puumala virus	
Qalyub virus	
Quaranfil virus	
Rabbit coronavirus	1898672
Rabbit fibroma virus	10271
Rabbit hemorrhagic disease virus	11976
Rabbit kidney vacuolating virus	527205
Rabbit oral papillomavirus	
Rabies virus	
Racoonpox virus	
Rat coronavirus	31632
Rat minute virus 1	344593
Rat parvovirus 1	74581
Reston ebolavirus	186539
Rhesus macaque parvovirus	119756
Rhesus monkey papillomavirus 1	
Rift Valley fever virus	11588
Rinderpest virus	
Rio Bravo virus	64285
Rio Mamore virus	
Rio Negro virus	332097
Rio Segundo virus	
Ross River virus	11029
Rotavirus A	28875
Rotavirus B	28876
Rotavirus C	36427
Rotavirus E	
Rubella virus	11041
Sabia virus	2907957
Saboya virus	64284
Saimiriine herpesvirus 1	10353
Saimiriine herpesvirus 2	
Sal Vieja virus	64301
Salehabad virus	904699
Salem virus	120499
San Perlita virus	64302
Sandfly fever Naples virus	206160
Sandfly fever Sicilian virus	28292
Sapporo virus	95342
Sathuperi virus	
Sciurid herpesvirus 1	
Sciurid herpesvirus 2	
Sealpox virus	
Semliki Forest virus	11033
Sendai virus	
Seoul virus	
Sepik virus	44026
Severe acute respiratory syndrome-related coronavirus	694009
Shamonda virus	
Sheeppox virus	10266
Shuni virus	
Simbu virus	
Simian adenovirus	
Simian enterovirus A	
Simian foamy virus	11642
Simian hemorrhagic fever virus	38143
Simian immunodeficiency virus	11723
Simian parvovirus	31598
Simian virus 10	
Simian virus 12	46771
Simian virus 40	
Simian virus 5	
Sin Nombre virus	
Sindbis virus	11034
Southern elephant seal virus	1159195
Squirrel adenovirus	
Squirrel fibroma virus	538970
Squirrel monkey retrovirus	11856
Squirrel parapoxvirus	
St. Louis encephalitis virus	
Sudan ebolavirus	186540
Suid herpesvirus 1	
Swine norovirus	70297
Swinepox virus	10276
Tacaiuma virus	
Tacaribe virus	
Tamana bat virus	161675
Tamdy virus	1453410
Tamiami virus	
Tanapox virus	99000
Tataguine virus	1623310
Taterapox virus	28871
Tembusu virus	64293
Thailand virus	
Theilovirus	204711
Thiafora virus	
Thogoto virus	
Thottapalayam virus	
Tick-borne encephalitis virus	11084
Tioman virus	162013
Tonate virus	60877
Topografov virus	
Torque Teno virus	68887
Transmissible gastroenteritis virus	11149
Tree shrew adenovirus	
Trubanaman virus	1678230
Tula virus	
Tupaia paramyxovirus	92129
Tupaiid herpesvirus 1	
Turlock virus	
Uganda S virus	64297
Una virus	59304
Upolu virus	1428581
Usutu virus	64286
Uukuniemi virus	11591
Vaccinia virus	10245
Variola virus	10255
Venezuelan equine encephalitis virus	11036
Vesicular exanthema of swine virus	35612
Vesicular stomatitis Alagoas virus	198833
Vesicular stomatitis Indiana virus	11277
Vesicular stomatitis New Jersey virus	11280
Visna/maedi virus	
Volepox virus	28874
Wad Medani virus	40067
Wallal virus	40061
Walrus calicivirus	146073
Wanowrie virus	2748252
Warrego virus	40062
Wesselsbron virus	164416
West Caucasian bat virus	
West Nile virus	11082
Western equine encephalitis virus	11039
Whitewater Arroyo virus	
Witwatersrand virus	1678231
Wongorr virus	47465
Woodchuck hepatitis virus	35269
Woolly monkey sarcoma virus	11970
Wyeomyia virus	
Yaba monkey tumor virus	38804
Yellow fever virus	11089
Yogue virus	1712572
Yokose virus	64294
Zaire ebolavirus	186538
Zegla virus	2303488
Zika virus	64320
