,count,percent
Bacteria,501,0.305115712545676
Mammal,385,0.23447015834348356
Other,191,0.11632155907429964
Virus,185,0.11266747868453106
Plant,183,0.11144945188794153
Anthropod,135,0.08221680876979294
Fungi,52,0.031668696711327646
Parasite,10,0.0060901339829476245
