,count,percent
Primates,131,0.07978075517661389
Rodentia,106,0.06455542021924482
Bacteroidales,87,0.052984165651644335
Artiodactyla,80,0.048721071863580996
Eubacteriales,72,0.0438489646772229
Martellivirales,71,0.043239951278928136
Burkholderiales,51,0.031059683313032885
Enterobacterales,47,0.028623629719853837
Lactobacillales,40,0.024360535931790498
Diptera,39,0.023751522533495738
Poales,39,0.023751522533495738
Pseudomonadales,29,0.01766138855054811
Picornavirales,29,0.01766138855054811
Araneae,28,0.01705237515225335
Carnivora,22,0.013398294762484775
Brassicales,22,0.013398294762484775
Cypriniformes,20,0.012180267965895249
Galliformes,17,0.010353227771010963
Solanales,16,0.0097442143727162
Fabales,15,0.009135200974421437
Campylobacterales,15,0.009135200974421437
Moraxellales,15,0.009135200974421437
Petitvirales,14,0.008526187576126675
Bacillales,14,0.008526187576126675
Chiroptera,13,0.007917174177831911
Salmoniformes,13,0.007917174177831911
Rosales,13,0.007917174177831911
Hymenoptera,12,0.007308160779537149
Saccharomycetales,12,0.007308160779537149
Amarillovirales,11,0.006699147381242387
Decapoda,11,0.006699147381242387
Pasteurellales,10,0.0060901339829476245
Lagomorpha,10,0.0060901339829476245
Hyphomicrobiales,10,0.0060901339829476245
Alteromonadales,10,0.0060901339829476245
Nidovirales,9,0.0054811205846528625
Stellavirales,9,0.0054811205846528625
Reovirales,9,0.0054811205846528625
Ixodida,8,0.0048721071863581
Coleoptera,8,0.0048721071863581
Mononegavirales,8,0.0048721071863581
Pholidota,8,0.0048721071863581
Anseriformes,8,0.0048721071863581
Octopoda,7,0.004263093788063338
Asterales,7,0.004263093788063338
Anura,7,0.004263093788063338
Mycoplasmatales,7,0.004263093788063338
Synechococcales,7,0.004263093788063338
Perciformes,6,0.0036540803897685747
Methanosarcinales,6,0.0036540803897685747
Articulavirales,6,0.0036540803897685747
Malvales,6,0.0036540803897685747
Mycobacteriales,6,0.0036540803897685747
Lamiales,6,0.0036540803897685747
Malpighiales,6,0.0036540803897685747
Fusobacteriales,6,0.0036540803897685747
Bifidobacteriales,6,0.0036540803897685747
Funariales,5,0.0030450669914738123
Passeriformes,5,0.0030450669914738123
Ostreida,5,0.0030450669914738123
Haemosporida,5,0.0030450669914738123
Perissodactyla,5,0.0030450669914738123
Methanomicrobiales,5,0.0030450669914738123
Blattodea,5,0.0030450669914738123
Vibrionales,5,0.0030450669914738123
Scleractinia,5,0.0030450669914738123
Syngnathiformes,4,0.00243605359317905
Cucurbitales,4,0.00243605359317905
