sourceNodeId,sourceAppId,targetNodeId,targetAppId,relationshipType,count,avgPercentIdentityStatSpots,weight
7688419,u405,8803696,71412,HAS_HOST_METADATA_LABEL,1,,1
7688419,u405,9483367,939928,HAS_HOST_METADATA_LABEL,1,,1
7688419,u405,9779556,1297858,HAS_HOST_METADATA_LABEL,1,,1
7688419,u405,9707595,1218275,HAS_HOST_METADATA_LABEL,1,,1
7688419,u405,8767353,27602,HAS_HOST_METADATA_LABEL,1,,1
7688419,u405,9583339,1070528,HAS_HOST_METADATA_LABEL,1,,1
7688419,u405,8759602,4556,HAS_HOST_METADATA_LABEL,1,,1
7688419,u405,9101354,410659,HAS_HOST_METADATA_LABEL,1,,1
7688419,u405,8761715,7227,HAS_HOST_METADATA_LABEL,1,,1
7688419,u405,10843932,2517771,HAS_HOST_METADATA_LABEL,1,,1
7688419,u405,8915859,198431,HAS_HOST_METADATA_LABEL,1,,1
7688419,u405,9101355,410661,HAS_HOST_METADATA_LABEL,17,,1
7688419,u405,10160956,1729361,HAS_HOST_METADATA_LABEL,2,,1
7688419,u405,10276870,1861841,HAS_HOST_METADATA_LABEL,1,,1
7688419,u405,8762251,7955,HAS_HOST_METADATA_LABEL,1,,1
7692194,u548,8763618,9606,HAS_HOST_METADATA_LABEL,30,,1
7692194,u548,9633633,1131769,HAS_HOST_METADATA_LABEL,2,,1
7692194,u548,8758984,3847,HAS_HOST_METADATA_LABEL,9,,1
7692194,u548,10546030,2173186,HAS_HOST_METADATA_LABEL,10,,1
7692194,u548,8967242,256318,HAS_HOST_METADATA_LABEL,13,,1
7692194,u548,9583339,1070528,HAS_HOST_METADATA_LABEL,12,,1
7692194,u548,9620740,1115523,HAS_HOST_METADATA_LABEL,6,,1
7692194,u548,9355347,749906,HAS_HOST_METADATA_LABEL,1,,1
7692194,u548,10092047,1649191,HAS_HOST_METADATA_LABEL,1,,1
7692194,u548,10276870,1861841,HAS_HOST_METADATA_LABEL,2,,1
7692194,u548,8786604,51240,HAS_HOST_METADATA_LABEL,1,,1
7692194,u548,10220919,1799672,HAS_HOST_METADATA_LABEL,1,,1
7692194,u548,9779579,1297885,HAS_HOST_METADATA_LABEL,1,,1
7692194,u548,9099298,408172,HAS_HOST_METADATA_LABEL,2,,1
7692194,u548,10884620,2560525,HAS_HOST_METADATA_LABEL,2,,1
7692194,u548,8763905,9940,HAS_HOST_METADATA_LABEL,5,,1
7692194,u548,10638860,2293339,HAS_HOST_METADATA_LABEL,1,,1
7692207,u550,8761473,6938,HAS_HOST_METADATA_LABEL,5,,1
7692207,u550,8763618,9606,HAS_HOST_METADATA_LABEL,1,,1
7692207,u550,9723186,1235509,HAS_HOST_METADATA_LABEL,2,,1
7692207,u550,8892154,172148,HAS_HOST_METADATA_LABEL,2,,1
7692207,u550,8764040,10116,HAS_HOST_METADATA_LABEL,1,,1
7692207,u550,9134507,447426,HAS_HOST_METADATA_LABEL,1,,1
7692207,u550,8763572,9545,HAS_HOST_METADATA_LABEL,6,,1
7692207,u550,8764764,11083,HAS_HOST_METADATA_LABEL,4,,1
7692207,u550,9355347,749906,HAS_HOST_METADATA_LABEL,1,,1
7692712,u602,8763887,9913,HAS_HOST_METADATA_LABEL,2,,1
7692712,u602,8936651,221254,HAS_HOST_METADATA_LABEL,1,,1
7692712,u602,9227965,556182,HAS_HOST_METADATA_LABEL,2,,1
7692712,u602,9099298,408172,HAS_HOST_METADATA_LABEL,8,,1
7692712,u602,8838533,111067,HAS_HOST_METADATA_LABEL,1,,1
7692712,u602,8808828,77173,HAS_HOST_METADATA_LABEL,2,,1
7692712,u602,9282729,646099,HAS_HOST_METADATA_LABEL,5,,1
7692712,u602,8866159,142614,HAS_HOST_METADATA_LABEL,1,,1
7692712,u602,10013578,1561972,HAS_HOST_METADATA_LABEL,1,,1
7692712,u602,9597737,1088131,HAS_HOST_METADATA_LABEL,1,,1
7692712,u602,8761715,7227,HAS_HOST_METADATA_LABEL,1,,1
7692712,u602,9623192,1118232,HAS_HOST_METADATA_LABEL,1,,1
7692712,u602,8888613,168165,HAS_HOST_METADATA_LABEL,1,,1
7692712,u602,8817283,86794,HAS_HOST_METADATA_LABEL,1,,1
7692712,u602,8762289,8005,HAS_HOST_METADATA_LABEL,1,,1
7692712,u602,8764020,10090,HAS_HOST_METADATA_LABEL,1,,1
7692712,u602,8759514,4442,HAS_HOST_METADATA_LABEL,1,,1
7692712,u602,9255516,591226,HAS_HOST_METADATA_LABEL,1,,1
7692712,u602,8789690,54800,HAS_HOST_METADATA_LABEL,1,,1
7692712,u602,8812996,81964,HAS_HOST_METADATA_LABEL,1,,1
7692712,u602,8759805,4785,HAS_HOST_METADATA_LABEL,1,,1
7692712,u602,8790824,56046,HAS_HOST_METADATA_LABEL,1,,1
7692712,u602,9099296,408170,HAS_HOST_METADATA_LABEL,2,,1
7692712,u602,9355347,749906,HAS_HOST_METADATA_LABEL,1,,1
7692712,u602,9101353,410658,HAS_HOST_METADATA_LABEL,4,,1
7692712,u602,8967242,256318,HAS_HOST_METADATA_LABEL,1,,1
7692881,u703,10276870,1861841,HAS_HOST_METADATA_LABEL,3,,1
7692881,u703,8764020,10090,HAS_HOST_METADATA_LABEL,350,,1
7692881,u703,10043699,1595979,HAS_HOST_METADATA_LABEL,10,,1
7692881,u703,9203827,527639,HAS_HOST_METADATA_LABEL,6,,1
7692881,u703,8763618,9606,HAS_HOST_METADATA_LABEL,79,,1
7692881,u703,9016588,315492,HAS_HOST_METADATA_LABEL,1,,1
7692881,u703,8967242,256318,HAS_HOST_METADATA_LABEL,6,,1
7692881,u703,8758789,3627,HAS_HOST_METADATA_LABEL,1,,1
7692881,u703,8763633,9627,HAS_HOST_METADATA_LABEL,2,,1
7692881,u703,8764943,11292,HAS_HOST_METADATA_LABEL,114,,1
7692881,u703,9227965,556182,HAS_HOST_METADATA_LABEL,1,,1
7692881,u703,8762251,7955,HAS_HOST_METADATA_LABEL,31,,1
7692881,u703,8758647,3468,HAS_HOST_METADATA_LABEL,2,,1
7692881,u703,9355348,749907,HAS_HOST_METADATA_LABEL,4,,1
7692881,u703,8769396,30177,HAS_HOST_METADATA_LABEL,2,,1
7692881,u703,8761715,7227,HAS_HOST_METADATA_LABEL,2,,1
7692881,u703,9099298,408172,HAS_HOST_METADATA_LABEL,4,,1
7692881,u703,8760187,5315,HAS_HOST_METADATA_LABEL,1,,1
7692881,u703,9355347,749906,HAS_HOST_METADATA_LABEL,3,,1
7692881,u703,9531759,1007316,HAS_HOST_METADATA_LABEL,1,,1
7692881,u703,8779000,42415,HAS_HOST_METADATA_LABEL,1,,1
7692881,u703,8898144,178762,HAS_HOST_METADATA_LABEL,1,,1
7692881,u703,9101353,410658,HAS_HOST_METADATA_LABEL,45,,1
7692881,u703,10090783,1647806,HAS_HOST_METADATA_LABEL,1,,1
7692881,u703,8769572,30397,HAS_HOST_METADATA_LABEL,2,,1
7692881,u703,9804461,1325974,HAS_HOST_METADATA_LABEL,3,,1
7692881,u703,10492454,2108191,HAS_HOST_METADATA_LABEL,1,,1
7692881,u703,9103324,412755,HAS_HOST_METADATA_LABEL,4,,1
7692881,u703,8767422,27689,HAS_HOST_METADATA_LABEL,1,,1
7692881,u703,8763623,9615,HAS_HOST_METADATA_LABEL,2,,1
7692881,u703,8763851,9870,HAS_HOST_METADATA_LABEL,15,,1
7692881,u703,8909730,191431,HAS_HOST_METADATA_LABEL,1,,1
7692881,u703,8809217,77598,HAS_HOST_METADATA_LABEL,1,,1
7692881,u703,8763476,9430,HAS_HOST_METADATA_LABEL,1,,1
7692881,u703,9136180,449393,HAS_HOST_METADATA_LABEL,1,,1
7692881,u703,9099296,408170,HAS_HOST_METADATA_LABEL,1,,1
7692881,u703,9282729,646099,HAS_HOST_METADATA_LABEL,1,,1
7692881,u703,11107272,2823069,HAS_HOST_METADATA_LABEL,1,,1
7692881,u703,8763855,9874,HAS_HOST_METADATA_LABEL,1,,1
7692881,u703,8763858,9877,HAS_HOST_METADATA_LABEL,1,,1
7692881,u703,8758855,3702,HAS_HOST_METADATA_LABEL,3,,1
7692881,u703,8759514,4442,HAS_HOST_METADATA_LABEL,1,,1
7692881,u703,8774940,37717,HAS_HOST_METADATA_LABEL,1,,1
7692881,u703,10032204,1583376,HAS_HOST_METADATA_LABEL,1,,1
7692881,u703,8761657,7159,HAS_HOST_METADATA_LABEL,1,,1
7692881,u703,8820448,90371,HAS_HOST_METADATA_LABEL,3,,1
7692881,u703,8761204,6622,HAS_HOST_METADATA_LABEL,1,,1
7692881,u703,9779579,1297885,HAS_HOST_METADATA_LABEL,1,,1
7692881,u703,8779882,43490,HAS_HOST_METADATA_LABEL,1,,1
7692881,u703,8763142,9031,HAS_HOST_METADATA_LABEL,3,,1
7692881,u703,8756319,562,HAS_HOST_METADATA_LABEL,1,,1
7692881,u703,8759232,4120,HAS_HOST_METADATA_LABEL,4,,1
7692881,u703,8840602,113446,HAS_HOST_METADATA_LABEL,2,,1
7692881,u703,9665277,1169740,HAS_HOST_METADATA_LABEL,1,,1
7692881,u703,8763580,9555,HAS_HOST_METADATA_LABEL,1,,1
7692881,u703,8758311,3079,HAS_HOST_METADATA_LABEL,1,,1
7692881,u703,10013578,1561972,HAS_HOST_METADATA_LABEL,1,,1
7692881,u703,8773418,35924,HAS_HOST_METADATA_LABEL,1,,1
7692881,u703,9343974,717931,HAS_HOST_METADATA_LABEL,1,,1
7692881,u703,9203828,527640,HAS_HOST_METADATA_LABEL,1,,1
7693113,u741,8798009,64320,HAS_HOST_METADATA_LABEL,2879,,1
7693113,u741,8763618,9606,HAS_HOST_METADATA_LABEL,250,,1
7693113,u741,8764020,10090,HAS_HOST_METADATA_LABEL,28,,1
7693113,u741,9894938,1427524,HAS_HOST_METADATA_LABEL,9,,1
7693113,u741,8764961,11320,HAS_HOST_METADATA_LABEL,4,,1
7693113,u741,8764991,11520,HAS_HOST_METADATA_LABEL,2,,1
7693113,u741,8761715,7227,HAS_HOST_METADATA_LABEL,7,,1
7693113,u741,8763981,10036,HAS_HOST_METADATA_LABEL,31,,1
7693113,u741,8762393,8128,HAS_HOST_METADATA_LABEL,1,,1
7693113,u741,9623192,1118232,HAS_HOST_METADATA_LABEL,2,,1
7693113,u741,8764721,11033,HAS_HOST_METADATA_LABEL,1,,1
7693113,u741,8765706,12637,HAS_HOST_METADATA_LABEL,37,,1
7693113,u741,9723186,1235509,HAS_HOST_METADATA_LABEL,7,,1
7693113,u741,8764764,11083,HAS_HOST_METADATA_LABEL,4,,1
7693113,u741,9355347,749906,HAS_HOST_METADATA_LABEL,2,,1
7693113,u741,8755938,68,HAS_HOST_METADATA_LABEL,2,,1
7693113,u741,8761657,7159,HAS_HOST_METADATA_LABEL,16,,1
7693113,u741,8756319,562,HAS_HOST_METADATA_LABEL,3,,1
7693113,u741,8763571,9544,HAS_HOST_METADATA_LABEL,8,,1
7693113,u741,8967242,256318,HAS_HOST_METADATA_LABEL,3,,1
7693113,u741,8866380,142860,HAS_HOST_METADATA_LABEL,1,,1
7693113,u741,9703386,1213622,HAS_HOST_METADATA_LABEL,1,,1
7693113,u741,9282729,646099,HAS_HOST_METADATA_LABEL,2,,1
7693113,u741,9178458,496923,HAS_HOST_METADATA_LABEL,8,,1
7693113,u741,9583339,1070528,HAS_HOST_METADATA_LABEL,6,,1
7693113,u741,8782062,46018,HAS_HOST_METADATA_LABEL,1,,1
7693113,u741,8765362,12062,HAS_HOST_METADATA_LABEL,2,,1
7693113,u741,8763561,9534,HAS_HOST_METADATA_LABEL,1,,1
7693113,u741,8763979,10034,HAS_HOST_METADATA_LABEL,1,,1
7693113,u741,8823927,94219,HAS_HOST_METADATA_LABEL,1,,1
7693113,u741,8876336,154293,HAS_HOST_METADATA_LABEL,7,,1
