sourceAppId,Anthropod,Bacteria,Fungi,Mammal,Other,Parasite,Plant,Virus
u6438,0,5,0,9,0,0,0,0
u646907,0,0,0,1,10,0,0,0
u648086,0,0,0,1,0,0,0,0
u6549,1,0,0,0,0,0,0,0
u655859,0,6,0,6,1,0,0,1
u683515,0,1,0,0,0,0,0,0
u6845,0,0,0,0,0,0,1,0
u687848,0,0,0,0,1,0,0,1
u691399,0,0,0,0,0,0,0,1
u694014,0,8,0,0,1,0,0,40
u698555,5,0,0,0,0,0,0,0
u703,0,5,0,60,31,0,4,6
u703398,0,0,0,1,0,0,0,0
u708769,2,0,0,1,0,0,0,0
u7106,2,2,0,23,3,0,4,0
u7112,0,0,0,1,0,0,0,0
u71199,0,11,0,2,0,0,0,12
u7120,0,0,0,4,0,0,0,1
u712143,0,0,0,2,0,0,0,0
u718542,1,0,0,0,0,0,0,0
u7256,0,13,0,6,0,0,3,6
u726938,0,0,0,1,0,0,0,0
u726993,0,1,0,0,0,0,0,0
u72811,0,0,0,0,3,0,0,0
u741,9,3,0,99,0,0,1,22
u744974,0,0,0,1,0,0,0,0
u748646,0,0,0,16,0,0,0,0
u7492,1,0,0,5,11,0,0,0
u759354,0,0,0,2,0,0,0,0
u760703,0,0,0,4,0,0,0,10
u761698,0,0,0,0,0,0,0,1
u773284,0,0,0,0,1,0,0,0
u781489,0,0,0,8,0,0,0,4
u781695,1,1,0,0,0,0,1,0
u792303,0,0,0,0,0,0,0,1
u800160,0,0,0,1,0,0,0,0
u820616,0,0,0,1,0,0,0,0
u823709,0,1,0,1,0,0,0,10
u824,0,14,0,4,1,0,2,1
u829404,1,0,0,0,0,0,0,0
u831531,2,3,0,2,0,0,0,17
u833002,0,1,0,0,1,0,0,0
u840779,0,1,0,0,0,0,0,0
u845135,0,0,0,7,0,0,0,2
u850318,0,0,0,1,0,0,0,0
u8555,5,21,2,23,4,0,1,12
u856126,0,10,2,14,3,0,19,7
u85830,3,1,0,0,0,0,0,0
u8613,1,9,0,5,6,0,1,0
u8640,0,4,0,0,0,0,0,0
