nodeId,appId,taxId,labels,taxRank,taxOrder,isVertebrate
11030364,2732545,2732545,['Taxon'],order,Amarillovirales,False
11030370,2732551,2732551,['Taxon'],order,Stellavirales,False
11161498,2887326,2887326,['Taxon'],order,Moraxellales,False
11172182,2899670,2899670,['Taxon'],order,Balanomorpha,False
8755987,136,136,['Taxon'],order,Spirochaetales,False
8756749,1118,1118,['Taxon'],order,Chroococcales,False
8756767,1150,1150,['Taxon'],order,Oscillatoriales,False
8756776,1161,1161,['Taxon'],order,Nostocales,False
8757480,2037,2037,['Taxon'],order,Actinomycetales,False
8757581,2158,2158,['Taxon'],order,Methanobacteriales,False
8757681,2281,2281,['Taxon'],order,Sulfolobales,False
8758449,3244,3244,['Taxon'],order,Selaginellales,False
8758698,3524,3524,['Taxon'],order,Caryophyllales,False
8759177,4055,4055,['Taxon'],order,Gentianales,False
8759796,4776,4776,['Taxon'],order,Peronosporales,False
8760054,5139,5139,['Taxon'],order,Sordariales,False
8760065,5151,5151,['Taxon'],order,Ophiostomatales,False
8760129,5234,5234,['Taxon'],order,Tremellales,False
8760179,5303,5303,['Taxon'],order,Polyporales,False
8760497,5738,5738,['Taxon'],order,Diplomonadida,False
8760599,5863,5863,['Taxon'],order,Piroplasmida,False
8760797,6125,6125,['Taxon'],order,Scleractinia,False
8761173,6580,6580,['Taxon'],order,Venerida,False
8761378,6821,6821,['Taxon'],order,Amphipoda,False
8761519,6993,6993,['Taxon'],order,Orthoptera,False
8762167,7858,7858,['Taxon'],order,Rajiformes,True
8762231,7933,7933,['Taxon'],order,Anguilliformes,True
8762516,8288,8288,['Taxon'],order,Polypteriformes,True
8762561,8342,8342,['Taxon'],order,Anura,True
8763769,9774,9774,['Taxon'],order,Sirenia,True
8766416,13792,13792,['Taxon'],order,Mamiellales,False
8769465,30262,30262,['Taxon'],order,Thysanoptera,False
8770584,31932,31932,['Taxon'],order,Nitrosopumilales,False
8771303,33183,33183,['Taxon'],order,Onygenales,False
8772207,34346,34346,['Taxon'],order,Schizosaccharomycetales,False
8772427,34634,34634,['Taxon'],order,Mesostigmata,False
8773049,35460,35460,['Taxon'],order,Chlorellales,False
8773543,36064,36064,['Taxon'],order,Cantharellales,False
8775683,38608,38608,['Taxon'],order,Dasyuromorphia,True
8775684,38609,38609,['Taxon'],order,Diprotodontia,True
8778516,41872,41872,['Taxon'],order,Mugiliformes,True
8784224,48461,48461,['Taxon'],order,Verrucomicrobiales,False
8801554,68889,68889,['Taxon'],order,Boletales,False
8804467,72273,72273,['Taxon'],order,Thiotrichales,False
8807823,76071,76071,['Taxon'],order,Beloniformes,True
8815160,84337,84337,['Taxon'],order,Diplostraca,False
8815771,85004,85004,['Taxon'],order,Bifidobacteriales,False
8815772,85006,85006,['Taxon'],order,Micrococcales,False
8815775,85009,85009,['Taxon'],order,Propionibacteriales,False
8815777,85011,85011,['Taxon'],order,Kitasatosporales,False
8822721,92860,92860,['Taxon'],order,Pleosporales,False
8859901,135619,135619,['Taxon'],order,Oceanospirillales,False
8859904,135622,135622,['Taxon'],order,Alteromonadales,False
8883552,162474,162474,['Taxon'],order,Malasseziales,False
8917933,200666,200666,['Taxon'],order,Sphingobacteriales,False
9097738,406427,406427,['Taxon'],order,Anthoathecata,False
9138755,452342,452342,['Taxon'],order,Russulales,False
9276798,639021,639021,['Taxon'],order,Magnaporthales,False
9491446,948951,948951,['Taxon'],order,Cingulata,True
9630448,1127829,1127829,['Taxon'],order,Candidatus Brocadiales,False
9946556,1485168,1485168,['Taxon'],order,Longamoebia,False
9950732,1489876,1489876,['Taxon'],order,Kurtiformes,True
9950755,1489900,1489900,['Taxon'],order,Anabantiformes,True
9950766,1489911,1489911,['Taxon'],order,Cichliformes,True
9950782,1489931,1489931,['Taxon'],order,Spariformes,True
9950788,1489940,1489940,['Taxon'],order,Centrarchiformes,True
10087120,1643688,1643688,['Taxon'],order,Leptospirales,False
10260777,1843489,1843489,['Taxon'],order,Veillonellales,False
10450078,2058949,2058949,['Taxon'],order,Dictyosteliales,False
10882472,2558200,2558200,['Taxon'],order,Accipitriformes,True
10990127,2682482,2682482,['Taxon'],order,Mastigamoebida,False
11025236,2726947,2726947,['Taxon'],order,Mycosphaerellales,False
11176787,2905377,2905377,['Taxon'],order,Methanotrichales,False
