sotu,isZoonotic,maxTaxonDistance,maxDiversity,numUniqueTaxOrders
u547455,True,0,0,1
u555080,True,0,0,0
u656582,True,0,0,0
u486081,True,0,0,0
u12233,True,0,0,0
u283925,True,0,0,1
u454830,True,0,0,0
u439890,True,0,0,0
u357352,True,0,0,0
u190602,True,0,0,0
u1059371,True,0,0,0
u1044971,True,0,0,1
u733019,True,0,0,0
u867851,True,0,0,0
u5536,True,0,0,0
u1010160,True,0,0,0
u66257,True,0,0,0
u844052,True,0,0,0
u417481,True,0,0,0
u1022176,True,0,0,0
u855507,True,0,0,0
u1021156,True,0,0,0
u26958,True,0,0,0
u780278,True,0,0,0
u91440,True,0,0,0
u1297,True,12.0,2.681813263399569,4
u340505,True,0,0,0
u501325,True,0,0,0
u569955,True,0,0,0
u497896,True,0,0,0
u383457,True,0,0,0
u90904,True,0,0,0
u565405,True,0,0,0
u25198,True,0,0,1
u899400,True,0,0,0
u710999,True,0,0,0
u1061268,True,0,0,0
u516043,True,0,0,0
u914141,True,0,0,1
u406775,True,0,0,0
u475080,True,0,0,0
u13577,True,0,0,0
u637708,True,0,0,0
u186534,True,0,0,0
u334369,True,0,0,0
u25341,True,0,0,0
u125778,True,0,0,0
u42720,True,0,0,0
u25133,False,0,0,0
u8238,False,28.0,4.414501948368662,5
u821211,False,0,0,0
u19341,True,0,0,0
u230586,True,0,0,1
u22583,True,0,0,1
u16704,True,24.0,3.419197132033762,4
u829404,True,0,0,1
u1058528,True,0,0,1
u781489,True,0,0,1
u16596,True,0,0,0
u6346,False,0,0,0
u1008085,True,0,0,0
u935062,True,0,0,0
u85830,True,0,0,0
u698555,True,0,0,1
u217468,True,0,0,1
u4842,True,32.0,2.7226284927618094,4
u6381,False,0,0,0
u23780,False,0,0,0
u614350,False,0,0,0
u488146,False,0,0,0
u863136,False,0,0,0
u734031,False,0,0,0
u885735,False,0,0,1
u6152,False,21.0,3.1662325239770963,4
u3632,False,0,0,0
u15161,False,0,0,0
u287350,False,0,0,0
u307751,False,0,0,0
u783410,True,0,0,0
u840779,True,0,0,0
u769573,True,0,0,0
u663748,True,0,0,0
u712577,True,0,0,0
u145364,True,0,0,0
u921774,True,0,0,0
u1035166,True,0,0,0
u26638,True,0,0,0
u25668,True,0,0,1
u623499,True,0,0,0
u273894,True,0,0,1
u1054502,True,0,0,0
u133030,True,0,0,0
u1010387,True,0,0,0
u852907,True,0,0,0
u516495,True,0,0,1
u594738,True,0,0,0
u716720,True,0,0,0
u118111,True,0,0,0
u99033,True,0,0,0
u94624,True,0,0,0
u665602,True,0,0,0
u759354,True,0,0,0
u278017,True,0,0,0
