sotuTaxId,Non-vertebrate,Vertebrate
11021,0,2
11033,1,1
11034,5,2
11036,4,3
11041,0,3
11047,0,1
11048,5,3
11072,4,1
11080,1,0
11084,2,1
11089,0,2
11137,3,1
11241,0,3
11263,0,2
11272,2,0
11274,10,4
11277,16,9
11280,1,0
11292,9,5
11303,1,1
11318,1,1
11320,133,47
11520,5,4
11569,6,0
11976,6,2
11978,1,5
12092,13,8
12104,6,4
12637,8,3
12730,5,6
28344,16,13
28875,22,21
28876,0,2
31612,1,0
31631,38,14
33743,0,1
37124,2,1
38143,1,1
40051,1,1
40052,1,2
40056,0,1
40059,0,1
40062,2,0
40067,1,1
44025,1,0
46839,4,1
50713,2,0
54290,6,3
54315,3,9
59300,9,3
59301,3,2
59302,0,1
59305,1,0
64281,0,2
64286,0,1
64293,1,5
64294,0,1
64295,2,1
64299,0,1
64320,7,3
70566,0,1
77763,3,0
92129,1,0
106333,1,7
106966,13,11
118140,15,27
118655,5,0
138949,0,1
145856,53,34
147711,16,13
147712,3,5
154121,7,10
154122,0,2
161675,0,1
162013,0,2
162145,5,2
172314,1,2
186540,1,0
204711,5,4
237020,1,2
249584,0,1
290008,0,1
291484,8,19
292278,0,1
351073,7,5
352236,4,0
358764,1,2
380434,2,1
590647,1,0
629735,0,1
686984,4,8
688436,0,1
909207,1,1
1046251,0,1
1176484,2,5
1239566,3,2
1239567,23,21
1239574,6,3
1239577,6,0
1313215,0,1
1435485,0,3
1623310,1,0
1678230,0,2
1679172,0,1
1803956,3,4
1972568,1,0
1980456,0,1
1980493,1,0
2169991,1,0
2560525,0,3
2560580,36,11
2593991,1,0
2748252,1,0
2748253,2,0
2886894,0,1
2905673,3,6
2905917,0,1
