nodeId,appId,taxId,labels,taxRank,taxOrder,hostClass
9546504,1028384,1028384,['Taxon'],order,Glomerellales,Fungi
10302863,1890424,1890424,"['Taxon', 'Host']",order,Synechococcales,Bacteria
10381874,1980410,1980410,['Taxon'],order,Bunyavirales,Virus
10542956,2169561,2169561,"['Taxon', 'Host']",order,Ortervirales,Virus
10827134,2499411,2499411,['Taxon'],order,Articulavirales,Virus
11005570,2704949,2704949,['Taxon'],order,Trypanosomatida,Other
11030243,2732414,2732414,['Taxon'],order,Petitvirales,Virus
11030334,2732515,2732515,['Taxon'],order,Blubervirales,Virus
11030346,2732527,2732527,['Taxon'],order,Chitovirales,Virus
11030353,2732534,2732534,['Taxon'],order,Piccovirales,Virus
11030355,2732536,2732536,['Taxon'],order,Cirlivirales,Virus
11030360,2732541,2732541,['Taxon'],order,Reovirales,Virus
11030363,2732544,2732544,['Taxon'],order,Martellivirales,Virus
11030364,2732545,2732545,['Taxon'],order,Amarillovirales,Virus
11030370,2732551,2732551,['Taxon'],order,Stellavirales,Virus
11161498,2887326,2887326,['Taxon'],order,Moraxellales,Bacteria
11172182,2899670,2899670,['Taxon'],order,Balanomorpha,Anthropod
8755987,136,136,['Taxon'],order,Spirochaetales,Bacteria
8756749,1118,1118,['Taxon'],order,Chroococcales,Bacteria
8756767,1150,1150,['Taxon'],order,Oscillatoriales,Bacteria
8756776,1161,1161,['Taxon'],order,Nostocales,Bacteria
8757480,2037,2037,['Taxon'],order,Actinomycetales,Bacteria
8757581,2158,2158,"['Taxon', 'Host']",order,Methanobacteriales,Other
8757681,2281,2281,['Taxon'],order,Sulfolobales,Other
8758449,3244,3244,['Taxon'],order,Selaginellales,Plant
8758698,3524,3524,['Taxon'],order,Caryophyllales,Plant
8759177,4055,4055,['Taxon'],order,Gentianales,Plant
8759796,4776,4776,['Taxon'],order,Peronosporales,Other
8760054,5139,5139,['Taxon'],order,Sordariales,Fungi
8760065,5151,5151,['Taxon'],order,Ophiostomatales,Fungi
8760129,5234,5234,['Taxon'],order,Tremellales,Fungi
8760179,5303,5303,['Taxon'],order,Polyporales,Fungi
8760497,5738,5738,['Taxon'],order,Diplomonadida,Other
8760599,5863,5863,['Taxon'],order,Piroplasmida,Parasite
8760797,6125,6125,"['Taxon', 'Host']",order,Scleractinia,Other
8761173,6580,6580,['Taxon'],order,Venerida,Other
8761378,6821,6821,['Taxon'],order,Amphipoda,Anthropod
8761519,6993,6993,['Taxon'],order,Orthoptera,Anthropod
8762167,7858,7858,['Taxon'],order,Rajiformes,Other
8762231,7933,7933,['Taxon'],order,Anguilliformes,Other
8762516,8288,8288,['Taxon'],order,Polypteriformes,Other
8762561,8342,8342,['Taxon'],order,Anura,Other
8763769,9774,9774,['Taxon'],order,Sirenia,Mammal
8766416,13792,13792,['Taxon'],order,Mamiellales,Plant
8769465,30262,30262,['Taxon'],order,Thysanoptera,Anthropod
8770584,31932,31932,['Taxon'],order,Nitrosopumilales,Other
8771303,33183,33183,['Taxon'],order,Onygenales,Fungi
8772207,34346,34346,['Taxon'],order,Schizosaccharomycetales,Fungi
8772427,34634,34634,['Taxon'],order,Mesostigmata,Anthropod
8773049,35460,35460,['Taxon'],order,Chlorellales,Plant
8773543,36064,36064,['Taxon'],order,Cantharellales,Fungi
8775683,38608,38608,['Taxon'],order,Dasyuromorphia,Mammal
8775684,38609,38609,['Taxon'],order,Diprotodontia,Mammal
8778516,41872,41872,['Taxon'],order,Mugiliformes,Other
8784224,48461,48461,['Taxon'],order,Verrucomicrobiales,Bacteria
8801554,68889,68889,['Taxon'],order,Boletales,Fungi
8804467,72273,72273,['Taxon'],order,Thiotrichales,Bacteria
8807823,76071,76071,['Taxon'],order,Beloniformes,Other
8815160,84337,84337,['Taxon'],order,Diplostraca,Anthropod
8815771,85004,85004,['Taxon'],order,Bifidobacteriales,Bacteria
8815772,85006,85006,['Taxon'],order,Micrococcales,Bacteria
8815775,85009,85009,['Taxon'],order,Propionibacteriales,Bacteria
8815777,85011,85011,['Taxon'],order,Kitasatosporales,Bacteria
8822721,92860,92860,"['Taxon', 'Host']",order,Pleosporales,Fungi
8859901,135619,135619,['Taxon'],order,Oceanospirillales,Bacteria
8859904,135622,135622,['Taxon'],order,Alteromonadales,Bacteria
8883552,162474,162474,['Taxon'],order,Malasseziales,Fungi
8917933,200666,200666,['Taxon'],order,Sphingobacteriales,Bacteria
9097738,406427,406427,['Taxon'],order,Anthoathecata,Other
9138755,452342,452342,['Taxon'],order,Russulales,Fungi
9276798,639021,639021,['Taxon'],order,Magnaporthales,Fungi
9491446,948951,948951,['Taxon'],order,Cingulata,Mammal
9630448,1127829,1127829,['Taxon'],order,Candidatus Brocadiales,Bacteria
9946556,1485168,1485168,['Taxon'],order,Longamoebia,Other
9950732,1489876,1489876,['Taxon'],order,Kurtiformes,Other
9950755,1489900,1489900,['Taxon'],order,Anabantiformes,Other
9950766,1489911,1489911,['Taxon'],order,Cichliformes,Other
9950782,1489931,1489931,['Taxon'],order,Spariformes,Other
9950788,1489940,1489940,['Taxon'],order,Centrarchiformes,Other
10087120,1643688,1643688,['Taxon'],order,Leptospirales,Bacteria
10260777,1843489,1843489,['Taxon'],order,Veillonellales,Bacteria
10450078,2058949,2058949,['Taxon'],order,Dictyosteliales,Other
10882472,2558200,2558200,['Taxon'],order,Accipitriformes,Other
10990127,2682482,2682482,['Taxon'],order,Mastigamoebida,Other
11025236,2726947,2726947,['Taxon'],order,Mycosphaerellales,Fungi
11176787,2905377,2905377,['Taxon'],order,Methanotrichales,Other
