sourceAppId,targetAppId,preferential_attachment
u16025,9443,1250
u8200,9443,125
u7120,9443,375
u613645,9443,0
u38502,9443,125
u12303,9443,125
u7492,9443,750
u45333,9443,125
u997851,9443,375
u6622,9443,375
u6048,9443,375
u286260,9443,0
u892960,9443,0
u943,9443,125
u703612,9443,1000
u9975,9443,125
u913280,9443,1125
u187822,9443,125
u898099,9443,0
u229982,9443,0
u18951,9443,250
u1056565,9443,0
u9230,9443,0
u777054,9443,0
u23058,9443,125
u17460,9443,125
u24766,9443,0
u413034,9443,0
u1073168,9443,0
u823254,9443,0
u503605,9443,0
u115522,9443,0
u953210,9443,0
u1034026,9443,0
u17442,9443,0
u486314,9443,0
u484236,9443,0
u19952,9443,375
u24454,9443,500
u18463,9443,250
u550,9443,250
u28728,9443,1250
u17481,9443,125
u7529,9443,375
u956923,9443,125
u653854,9443,500
u16954,9443,0
u833164,9443,0
u21161,9443,0
u9003,9443,1625
u998254,9443,0
u286560,9443,0
u258874,9443,1000
u283774,9443,125
u85253,9443,0
u95886,9443,0
u174326,9443,0
u250044,9443,375
u800160,9443,125
u1054555,9443,0
u623416,9443,0
u977953,9443,250
u726938,9443,0
u199659,9443,500
u217334,9443,250
u570343,9443,0
u2833,9443,2375
u383314,9443,250
u291421,9443,1375
u954037,9443,0
u217152,9443,625
u179620,9443,250
u217598,9443,125
u278844,9443,500
u237274,9443,0
u48874,9443,125
u8408,9443,375
u22509,9443,0
u16483,9443,250
u2793,9443,625
u25569,9443,250
u23246,9443,375
u7290,9443,250
u388976,9443,0
u483645,9443,625
u3278,9443,1125
u17557,9443,500
u3295,9443,500
u21412,9443,500
u13023,9443,500
u17974,9443,625
u955577,9443,250
u17968,9443,125
u20538,9443,125
u126989,9443,250
u255311,9443,125
u104919,9443,0
u165396,9443,0
u183355,9443,0
u703,9443,1125
u100580,9443,0
u189592,9443,125
u646907,9443,250
u695856,9443,0
u38985,9443,1500
u2598,9443,1000
u20904,9443,0
u658409,9443,125
u1300,9443,125
u10830,9443,500
u22180,9443,375
u17980,9443,375
u17071,9443,500
u29006,9443,0
u8807,9443,0
u29504,9443,1625
u574468,9443,0
u8107,9443,1250
u111830,9443,125
u7986,9443,6375
u4758,9443,0
u602,9443,625
u21664,9443,1000
u4543,9443,625
u1030256,9443,0
u164307,9443,1000
u8520,9443,125
u810483,9443,0
u5828,9443,1125
u452313,9443,125
u7423,9443,0
u238237,9443,375
u975858,9443,125
u3824,9443,125
u6349,9443,0
u18583,9443,375
u4902,9443,250
u811277,9443,500
u8555,9443,2875
u466536,9443,0
u15992,9443,125
u240772,9443,1000
u505053,9443,0
u1513,9443,625
u684732,9443,0
u23531,9443,750
u1971,9443,0
u656057,9443,0
u22510,9443,0
u372154,9443,0
u24280,9443,125
u2371,9443,250
u6331,9443,250
u19445,9443,375
u6944,9443,0
u659542,9443,125
u688967,9443,250
u25165,9443,0
u9527,9443,125
u988516,9443,125
u3548,9443,125
u916072,9443,0
u902785,9443,125
u2562,9443,250
u27014,9443,0
u19955,9443,0
u786704,9443,0
u626280,9443,250
u744974,9443,0
u2083,9443,250
u152971,9443,125
u19525,9443,250
u8640,9443,125
u9322,9443,125
u5523,9443,0
u157886,9443,1000
u869564,9443,0
u240559,9443,1250
u1019643,9443,0
u6076,9443,375
u1631,9443,500
u473002,9443,0
u559622,9443,0
u21349,9443,125
u978470,9443,125
u514679,9443,125
u583895,9443,125
u16052,9443,0
u253503,9443,125
u14846,9443,375
u648909,9443,0
u19742,9443,875
u1030898,9443,0
u72811,9443,125
u321036,9443,0
u762480,9443,0
u764040,9443,0
u7106,9443,2125
u670412,9443,0
u17707,9443,250
u761698,9443,125
u39248,9443,125
u691399,9443,125
u1021716,9443,125
u741,9443,1000
u149303,9443,1500
u1041,9443,375
u1011241,9443,0
u287478,9443,125
u831531,9443,250
u128,9443,625
u17501,9443,0
u562401,9443,0
u345572,9443,125
u658563,9443,0
u5265,9443,125
u18952,9443,0
u928419,9443,1250
u710626,9443,0
u276767,9443,0
u200060,9443,0
u994,9443,625
u184345,9443,0
u243312,9443,125
u743088,9443,875
u736734,9443,1250
u243431,9443,0
u1680,9443,1125
u112435,9443,0
u389350,9443,125
u184358,9443,125
u20448,9443,125
u906831,9443,250
u5525,9443,125
u18450,9443,6500
u12790,9443,375
u24970,9443,0
u3234,9443,125
u6359,9443,250
u854923,9443,0
u400723,9443,0
u360560,9443,0
u387312,9443,0
u1065795,9443,0
