,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Anthropod,0.09956981593972596,-0.4197210918350516,0.7479995317449132,-1.5773111694110051,0.1147239436042076,0.2671520456796683
Bacteria,0.0026111047178632857,-0.14426950408889636,0.015846765865803206,-1.4577903823523366,0.14489833006009495,0.2671520456796683
Fungi,0.4685713268977117,0.060662350451729595,0.7809729994985215,-0.5543462662535376,0.5793418925208855,0.6621050200238692
Mammal,258.585049331571,-0.11519323655839002,0.5046144229545619,-1.382005447246182,0.1669700285497927,0.2671520456796683
Other,0.3735155152573252,-0.02313613195948648,0.6875727172078548,-1.0532774299018524,0.2922138600215747,0.38961848002876626
Parasite,1.3659607201007746,0.06072219341602112,1.7619541945441282,-0.28296170399996556,0.7772061935333033,0.7772061935333033
Plant,0.02539462659133053,-0.35687701123254123,0.614785978698364,-2.612520672124196,0.00898772566867353,0.03595090267469412
Virus,0.009457372658748976,1.6794447124138467,0.6512548456789036,-3.577935223007811,0.00034631924902208425,0.002770553992176674
