sourceAppId,Anthropod,Bacteria,Fungi,Mammal,Other,Parasite,Plant,Virus
u4497,1,0,0,1,0,0,0,0
u452313,5,0,0,0,0,0,0,0
u45333,0,0,0,0,2,0,0,0
u4537,0,0,0,3,0,0,0,0
u4543,1,1,0,14,0,0,0,3
u460607,0,0,0,7,0,0,0,0
u464317,0,13,0,3,0,0,0,15
u483645,1,0,0,80,2,0,0,0
u4842,2,0,0,0,0,0,19,0
u48874,0,0,0,0,1,0,0,0
u4902,0,0,0,1,0,0,0,0
u491643,0,1,0,4,0,0,1,8
u501325,0,0,0,1,0,0,0,0
u514679,1,0,0,0,0,0,0,0
u516495,0,0,0,0,0,0,0,1
u5284,0,2,0,0,0,0,0,0
u54306,0,0,0,0,0,0,0,3
u547455,0,0,0,1,0,0,0,1
u54781,0,0,0,0,0,0,0,1
u548,0,0,0,5,0,0,0,0
u550,0,0,0,6,0,0,0,0
u5525,0,0,0,1,0,0,0,0
u561267,0,0,0,1,0,0,0,0
u569572,0,0,0,0,0,0,1,0
u582294,0,0,0,0,2,0,0,0
u583895,1,0,0,0,0,0,0,0
u592303,0,1,0,0,0,0,0,0
u602,1,1,0,0,0,0,3,0
u6048,10,0,0,0,0,0,3,0
u6076,0,0,0,4,1,0,1,0
u6152,2,2,0,45,1,0,0,0
u617110,1,0,0,0,0,0,0,0
u6173,0,0,0,3,0,0,0,0
u618960,0,0,0,0,0,0,0,1
u626280,0,0,0,3,0,0,0,0
u628596,0,1,0,3,0,0,0,1
u63187,0,0,0,0,0,0,1,7
u632416,0,3,0,0,0,0,0,0
u6346,0,0,0,18,1,0,0,0
u6359,0,0,0,0,1,0,4,0
u6381,0,0,0,1,0,0,0,0
u6438,0,1,0,7,0,0,0,0
u646907,0,0,0,1,10,0,0,0
u649358,26,0,0,0,0,0,0,0
u6497,0,0,0,3,0,0,0,0
u653854,3,3,0,85,0,0,0,16
u654834,44,2,0,2,11,0,0,1
u6549,1,0,0,0,0,0,0,0
u655859,0,0,0,4,0,0,0,0
u658409,0,0,0,1,0,0,0,0
u659542,1,0,0,0,0,0,0,0
u6622,0,0,0,5,0,0,5,0
u687848,0,0,0,0,1,0,0,0
u688967,0,0,0,5,0,0,0,0
u691399,0,0,0,0,0,0,0,1
u694014,0,1,0,0,0,0,0,6
u698555,1,0,0,0,0,0,0,0
u703,0,0,0,54,29,0,4,5
u703398,0,0,0,1,0,0,0,0
u703612,1,1,0,11,2,0,1,0
u708769,0,0,0,1,0,0,0,0
u7106,0,1,0,23,3,0,2,0
u7112,0,0,0,1,0,0,0,0
u71199,0,2,0,1,0,0,0,2
u7120,0,0,0,3,0,0,0,0
u712143,0,0,0,1,0,0,0,0
u718542,1,0,0,0,0,0,0,0
u7256,0,6,0,3,0,0,3,0
u72811,0,0,0,0,2,0,0,0
u733204,3,8,1,110,0,0,0,1
u7358,0,0,0,1,0,0,0,0
u736734,0,1,3,119,4,0,14,0
u741,8,1,0,78,0,0,1,20
u743088,0,0,1,20,2,0,5,0
u748646,0,0,0,16,0,0,0,0
u7492,1,0,0,4,11,0,0,0
u7529,1,0,0,55,0,0,0,21
u754,0,0,0,0,0,0,1,0
u759354,0,0,0,1,0,0,0,0
u760703,0,0,0,4,0,0,0,4
u761698,0,0,0,0,0,0,0,1
u781489,0,0,0,1,0,0,0,1
u781695,1,0,0,0,0,0,1,0
u7892,0,0,0,1,0,0,0,0
u792303,0,0,0,0,0,0,0,1
u7986,14,108,5,1457,44,3,66,26044
u800160,0,0,0,1,0,0,0,0
u8030,0,0,0,3,1,0,0,0
u8055,0,0,0,1,0,0,0,0
u811277,0,0,0,4,0,0,2,0
u814919,4,0,0,4,0,0,0,1
u820616,0,0,0,1,0,0,0,0
u821211,0,0,0,1,0,0,0,0
u823709,0,0,0,1,0,0,0,4
u8238,1,0,0,125,3,2,4,0
u824,0,1,0,2,0,0,1,0
u827875,0,0,0,0,1,0,0,0
u829404,1,0,0,0,0,0,0,0
u831531,0,0,0,1,0,0,0,5
u8408,0,0,0,4,0,0,0,0
u845135,0,0,0,4,0,0,0,1
u850318,0,0,0,1,0,0,0,0
u851981,0,1,0,1,0,0,0,0
u8520,0,0,0,1,0,0,0,0
u8555,5,18,1,22,4,0,1,12
u856126,0,5,2,14,3,0,19,0
u8613,1,0,0,1,0,0,1,0
u8719,0,0,0,1,0,0,0,0
u883540,0,1,0,0,0,0,0,0
u885735,0,1,0,3,1,0,0,0
u896319,1,3,0,16,0,0,5,0
u9003,0,0,0,0,1,0,2,0
u902785,1,0,0,0,0,0,0,0
u905860,0,1,0,0,0,0,4,0
u906831,1,0,0,0,14,0,0,0
u906969,0,0,0,0,0,0,0,2
u913280,3,1,0,16,0,0,1,3
u914141,0,1,0,0,0,0,0,0
u915510,0,0,0,1,0,0,0,0
u916774,0,1,0,1,0,0,0,1
u916935,0,0,0,2,0,0,0,0
u921774,0,0,0,2,0,0,0,0
u928419,14,0,1,535,3,0,15,0
u942877,0,1,0,0,0,0,0,0
u943,0,0,0,0,0,0,2,0
u94624,0,0,0,1,0,0,0,0
u948716,0,1,0,0,0,0,0,0
u9527,0,0,0,2,0,0,0,0
u955577,0,0,0,1,0,1,0,0
u956923,0,0,0,0,0,0,0,1
u961361,0,1,0,24,2,0,2,0
u972008,0,1,0,0,0,0,0,0
u972337,0,1,0,0,0,0,0,0
u975858,0,0,0,2,0,0,0,0
u977953,0,1,0,2,0,0,0,0
u978470,5,0,0,0,0,0,0,0
u987572,0,4,0,1,0,0,0,11
u988516,0,0,0,0,0,0,2,0
u99287,0,0,5,3,0,0,0,0
u994,0,2,4,9,0,0,0,0
u99531,3,10,0,231,24,0,3,14
u997851,0,0,0,4,0,0,0,0
