,count,percent
Mammal,349,0.3270852858481724
Bacteria,174,0.16307403936269915
Plant,164,0.15370196813495782
Other,141,0.13214620431115276
Anthropod,93,0.08716026241799438
Virus,92,0.08622305529522024
Fungi,45,0.04217432052483599
Parasite,9,0.008434864104967198
