,count,percent
Primates,125,0.11715089034676664
Rodentia,89,0.08341143392689784
Artiodactyla,74,0.06935332708528585
Poales,38,0.03561387066541706
Martellivirales,31,0.029053420805998126
Diptera,29,0.02717900656044986
Eubacteriales,27,0.02530459231490159
Burkholderiales,21,0.019681349578256794
Cypriniformes,19,0.01780693533270853
Brassicales,19,0.01780693533270853
Carnivora,18,0.016869728209934397
Picornavirales,17,0.015932521087160263
Galliformes,16,0.01499531396438613
Lactobacillales,15,0.014058106841611996
Pseudomonadales,15,0.014058106841611996
Fabales,15,0.014058106841611996
Bacteroidales,14,0.013120899718837863
Enterobacterales,13,0.01218369259606373
Solanales,13,0.01218369259606373
Rosales,12,0.011246485473289597
Araneae,12,0.011246485473289597
Chiroptera,12,0.011246485473289597
Saccharomycetales,11,0.010309278350515464
Amarillovirales,10,0.00937207122774133
Hymenoptera,10,0.00937207122774133
Reovirales,9,0.008434864104967198
Lagomorpha,9,0.008434864104967198
Bacillales,8,0.007497656982193065
Moraxellales,8,0.007497656982193065
Ixodida,8,0.007497656982193065
Salmoniformes,7,0.006560449859418931
Anseriformes,7,0.006560449859418931
Pholidota,7,0.006560449859418931
Octopoda,7,0.006560449859418931
Coleoptera,6,0.005623242736644799
Asterales,6,0.005623242736644799
Malpighiales,6,0.005623242736644799
Decapoda,6,0.005623242736644799
Malvales,6,0.005623242736644799
Mononegavirales,5,0.004686035613870665
Articulavirales,5,0.004686035613870665
Funariales,5,0.004686035613870665
Passeriformes,5,0.004686035613870665
Lamiales,5,0.004686035613870665
Perissodactyla,5,0.004686035613870665
Blattodea,5,0.004686035613870665
Methanosarcinales,4,0.0037488284910965324
Syngnathiformes,4,0.0037488284910965324
Trombidiformes,4,0.0037488284910965324
Fusobacteriales,4,0.0037488284910965324
Cucurbitales,4,0.0037488284910965324
Testudines,4,0.0037488284910965324
Perciformes,4,0.0037488284910965324
Mycoplasmatales,4,0.0037488284910965324
Lepidoptera,4,0.0037488284910965324
Fagales,4,0.0037488284910965324
Squamata,4,0.0037488284910965324
Haemosporida,4,0.0037488284910965324
Hypocreales,4,0.0037488284910965324
Mycobacteriales,3,0.0028116213683223993
Nidovirales,3,0.0028116213683223993
Venerida,3,0.0028116213683223993
Alteromonadales,3,0.0028116213683223993
Pasteurellales,3,0.0028116213683223993
Vitales,3,0.0028116213683223993
Proteales,3,0.0028116213683223993
Hyphomicrobiales,3,0.0028116213683223993
Vibrionales,3,0.0028116213683223993
Orbiliales,3,0.0028116213683223993
Synechococcales,3,0.0028116213683223993
Eucoccidiorida,3,0.0028116213683223993
Helotiales,3,0.0028116213683223993
Rhabditida,3,0.0028116213683223993
Sapindales,3,0.0028116213683223993
Ostreida,3,0.0028116213683223993
Apiales,3,0.0028116213683223993
Pleuronectiformes,3,0.0028116213683223993
Zingiberales,3,0.0028116213683223993
Eurotiales,3,0.0028116213683223993
Columbiformes,3,0.0028116213683223993
Eulipotyphla,3,0.0028116213683223993
Cichliformes,2,0.0018744142455482662
Centrarchiformes,2,0.0018744142455482662
Agaricales,2,0.0018744142455482662
Trypanosomatida,2,0.0018744142455482662
Petitvirales,2,0.0018744142455482662
Blubervirales,2,0.0018744142455482662
Ericales,2,0.0018744142455482662
Asparagales,2,0.0018744142455482662
Glomerellales,2,0.0018744142455482662
Chroococcales,2,0.0018744142455482662
Anthoathecata,2,0.0018744142455482662
Kitasatosporales,2,0.0018744142455482662
Sordariales,2,0.0018744142455482662
Scleractinia,2,0.0018744142455482662
Chlamydomonadales,2,0.0018744142455482662
Anura,2,0.0018744142455482662
Mamiellales,2,0.0018744142455482662
Actiniaria,2,0.0018744142455482662
Anabantiformes,2,0.0018744142455482662
Tymovirales,2,0.0018744142455482662
Cyprinodontiformes,2,0.0018744142455482662
Schizosaccharomycetales,2,0.0018744142455482662
Myrtales,2,0.0018744142455482662
Arecales,2,0.0018744142455482662
Didelphimorphia,2,0.0018744142455482662
Strigeidida,2,0.0018744142455482662
Pectinida,2,0.0018744142455482662
Tetraodontiformes,2,0.0018744142455482662
Xanthomonadales,2,0.0018744142455482662
Mesostigmata,2,0.0018744142455482662
Aeromonadales,2,0.0018744142455482662
Neisseriales,2,0.0018744142455482662
Hemiptera,2,0.0018744142455482662
Campylobacterales,2,0.0018744142455482662
Siluriformes,2,0.0018744142455482662
Kurtiformes,1,0.0009372071227741331
Boletales,1,0.0009372071227741331
Beloniformes,1,0.0009372071227741331
Leptospirales,1,0.0009372071227741331
Thiotrichales,1,0.0009372071227741331
Mugiliformes,1,0.0009372071227741331
Verrucomicrobiales,1,0.0009372071227741331
Bifidobacteriales,1,0.0009372071227741331
