sotuTaxId,Non-vertebrate,Vertebrate
11021,0,2
11033,1,1
11034,5,2
11036,4,3
11072,4,1
11080,1,0
11084,2,1
11089,0,2
11137,3,1
11263,0,2
11272,2,0
11277,16,9
11280,1,0
11292,9,5
11318,1,1
11320,133,47
11520,5,4
11569,6,0
12092,13,8
12104,6,4
12637,8,3
12730,5,6
28875,22,21
28876,0,2
33743,0,1
37124,2,1
40052,1,2
40059,0,1
44025,1,0
46839,4,1
54290,6,3
59300,9,3
59301,3,2
59302,0,1
64286,0,1
64293,1,5
64295,2,1
64320,7,3
77763,3,0
118655,5,0
138949,0,1
145856,53,34
162013,0,2
162145,5,2
172314,1,2
290008,0,1
291484,8,19
292278,0,1
1678230,0,2
1980456,0,1
2169991,1,0
2560525,0,3
2905673,3,6
2905917,0,1
