appId,triangleCount
u16025,106
u8200,31
u7120,372
u613645,0
u38502,260
u12303,0
u7492,106
u45333,129
u997851,0
u6622,0
u6048,0
u286260,0
u892960,0
u943,1
u703612,0
u9975,3
u913280,0
u187822,2
u898099,0
u229982,6
u18951,44
u1056565,0
u9230,55
u777054,0
u23058,5
u17460,37
u24766,36
u413034,0
u1073168,0
u823254,0
u503605,0
u115522,0
u953210,0
u1034026,0
u17442,13
u486314,0
u484236,0
u19952,8
u24454,3
u18463,5
u550,229
u28728,45
u17481,138
u7529,3
u956923,0
u653854,0
u16954,4
u833164,0
u21161,2
u9003,130
u998254,0
u286560,64
u258874,278
u283774,19
u85253,169
u95886,20
u174326,106
u250044,211
u800160,0
u1054555,0
u623416,0
u977953,0
u726938,0
u199659,197
u217334,208
u570343,0
u2833,143
u383314,0
u291421,152
u954037,0
u217152,221
u179620,87
u217598,123
u278844,278
u237274,141
u48874,80
u8408,1
u22509,63
u16483,215
u2793,3
u25569,3
u23246,3
u7290,3
u388976,0
u483645,0
u3278,3
u17557,28
u3295,32
u21412,87
u13023,27
u17974,23
u955577,0
u17968,41
u20538,41
u126989,0
u255311,120
u104919,17
u165396,0
u183355,82
u703,10
u100580,19
u189592,70
u646907,0
u695856,0
u38985,62
u2598,172
u20904,36
u658409,0
u1300,5
u10830,28
u22180,38
u17980,46
u17071,26
u29006,0
u8807,1
u29504,62
u574468,0
u8107,62
u111830,0
u7986,0
u4758,436
u602,32
u21664,127
u4543,16
u1030256,0
u164307,0
u8520,3
u810483,0
u5828,126
u452313,0
u7423,170
u238237,4
u975858,0
u3824,333
u6349,50
u18583,1
u4902,2
u811277,0
u8555,71
u466536,0
u15992,219
u240772,2
u505053,0
u1513,4
u684732,0
u23531,324
u1971,54
u656057,0
u22510,89
u372154,0
u24280,0
u2371,5
u6331,10
u19445,453
u6944,3
u659542,0
u688967,0
u25165,34
u9527,20
u988516,0
u3548,5
u916072,0
u902785,0
u2562,24
u27014,15
u19955,0
u786704,0
u626280,0
u744974,0
u2083,2
u152971,1
u19525,1
u8640,378
u9322,198
u5523,3
u157886,37
u869564,0
u240559,62
u1019643,0
u6076,239
u1631,221
u473002,0
u559622,0
u21349,0
u978470,0
u514679,0
u583895,0
u16052,0
u253503,0
u14846,298
u648909,0
u19742,138
u1030898,0
u72811,0
u321036,0
u762480,0
u764040,0
u7106,70
u670412,0
u17707,281
u761698,0
u39248,10
u691399,0
u1021716,0
u741,474
u149303,0
u1041,10
u1011241,0
u287478,0
u831531,0
u128,449
u17501,3
u562401,0
u345572,0
u658563,0
u5265,5
u18952,44
u928419,0
u710626,0
u276767,31
u200060,14
u994,52
u184345,42
u243312,32
u743088,0
u736734,0
u243431,27
u1680,12
u112435,24
u389350,0
u184358,47
u20448,16
u906831,0
u5525,2
u18450,10
u12790,322
u24970,0
u3234,368
u6359,34
u854923,0
u400723,0
u360560,0
u387312,0
u1065795,0
u12395,313
u654834,0
u649358,0
u232730,65
u6854,263
u1620,184
u548,9
u978625,0
u7358,437
u5284,42
u14847,361
u942877,0
u16491,5
u569572,0
u812996,0
u905860,0
u939940,0
u7871,0
u217989,2
u222185,1
u646070,0
u39811,4
u561267,0
u703495,0
u628596,0
u785530,0
u1958,2
u827875,0
u489994,0
u5157,1
u4537,10
u918778,0
u26157,61
u696611,0
u22735,0
u26670,0
u8030,3
u21450,0
u196758,1
u6497,7
u16477,2
u23268,75
u2384,195
u733204,0
u508699,0
u3729,0
u22066,27
u14724,2
u481710,0
u21649,242
u784352,0
u23650,3
u12743,1
u961361,0
u748646,0
u148722,1
u177462,21
u24190,83
u845135,0
u2716,1
u6734,155
u419816,0
u866296,0
u617110,0
u29609,411
u1801,260
u38509,3
u405,1
u848819,0
u93518,3
u219517,0
u1073759,0
u8613,7
u856126,0
u6845,3
u770665,0
u21558,0
u14790,263
u840961,0
u38034,7
u4011,46
u239287,11
u99531,11
u17854,0
u3171,0
u23818,52
u269474,0
u24052,70
u1831,1
u34772,2
u832933,0
u915510,0
u6549,246
u1095,29
u444385,0
u6173,0
u238213,0
u5172,25
u16791,55
u824,1
u26426,1
u485149,0
u10719,1
u547455,0
u555080,0
u656582,0
u486081,0
u12233,29
u283925,30
u454830,0
u439890,0
u357352,0
u190602,0
u1059371,0
u1044971,0
u733019,0
u867851,0
u5536,28
u1010160,0
u66257,0
u844052,0
u417481,0
u1022176,0
u855507,0
u1021156,0
u26958,28
u780278,0
u91440,0
u1297,32
u340505,0
u501325,0
u569955,0
u497896,0
u383457,0
u90904,0
u565405,0
u25198,29
u899400,0
u710999,0
u1061268,0
u516043,0
u914141,0
u406775,0
u475080,0
u13577,30
u637708,0
u186534,1
u334369,0
u25341,28
u125778,1
u42720,28
u25133,320
u8238,46
u821211,0
u19341,10
u207044,31
u230586,26
u22583,14
u16704,32
u829404,0
u1058528,0
u781489,0
u16596,10
u6346,1
u1008085,0
u935062,0
u85830,3
u698555,0
u217468,6
u4842,6
u6381,2
u23780,39
u614350,0
u488146,0
u863136,0
u734031,0
u885735,0
u6152,0
u3632,2
u15161,1
u287350,6
u307751,0
u783410,0
u840779,0
u769573,0
u663748,0
u712577,0
u145364,655
u921774,0
u1035166,0
u26638,207
u25668,3
u623499,0
u273894,77
u1054502,0
u133030,273
u1010387,0
u852907,0
u516495,0
u594738,0
u716720,0
u118111,108
u99033,152
u94624,78
u665602,0
u759354,0
u278017,262
u197266,80
u251755,475
u488449,0
u197235,179
u25022,1
u130032,436
u113609,637
u955792,0
u632416,0
u703398,0
u1070879,0
u16688,485
u12737,534
u63187,4
u23964,215
u218034,112
u181959,249
u123944,3
u710664,0
u884170,0
u903542,0
u772614,0
u879538,0
u242765,9
u216153,0
u25666,232
u906969,0
u477937,0
u557424,0
u639572,0
u604911,0
u291146,1
u547955,0
u127846,81
u181218,3
u694014,0
u1052321,0
u218174,63
u833002,0
u867966,0
u739669,0
u747745,0
u133261,145
u811886,0
u950481,0
u565422,0
u165183,289
u54781,654
u126467,399
u937773,0
u910073,0
u97022,147
u840738,0
u776492,0
u509861,0
u296287,110
u191609,359
u1015003,0
u176060,407
u451195,0
u230477,607
u523488,0
u185108,10
u127577,535
u82504,702
u590865,0
u184946,454
u55400,36
u499655,0
u726993,0
u465710,0
u820616,0
u131402,50
u166714,175
u179725,157
u155578,247
u71199,744
u104103,440
u835542,0
u676232,0
u644637,0
u575788,0
u351616,0
u443602,0
u318910,0
u124810,581
u983706,0
u106572,640
u864352,0
u82622,695
u883540,0
u23264,226
u436299,0
u350772,0
u987572,0
u131345,55
u97714,756
u236284,428
u135168,234
u6438,347
u853061,0
u266872,77
u245564,89
u135661,713
u215418,158
u57410,7
u685229,0
u968483,0
u714854,0
u230585,55
u130249,167
u946442,0
u11550,2
u64094,500
u684408,0
u773284,0
u883959,0
u99287,4
u140522,622
u227542,390
u265050,60
u96358,674
u899296,0
u688747,0
u843595,0
u1036577,0
u712143,0
u259712,4
u198165,7
u11435,287
u622542,0
u1053892,0
u994615,0
u1054761,0
u236419,766
u993885,0
u547944,0
u179645,67
u142278,221
u173580,621
u1075117,0
u867909,0
u731707,0
u933646,0
u798111,0
u689532,0
u933647,0
u77705,317
u870411,0
u880467,0
u828768,0
u59849,656
u97371,686
u191348,197
u275103,156
u292569,289
u134036,64
u368715,0
u696081,0
u482954,0
u236372,436
u238089,727
u293151,172
u18285,188
u850318,0
u964814,0
u691725,0
u401579,0
u163316,686
u891749,0
u592303,0
u118068,8
u19204,0
u950783,0
