sourceAppId,Anthropod,Bacteria,Fungi,Mammal,Other,Parasite,Plant,Virus
u1013662,0,0,0,1,0,0,0,0
u10830,0,0,0,1,0,0,0,0
u111830,0,0,0,0,1,0,0,0
u118871,0,0,0,0,0,0,1,0
u12303,0,0,0,1,0,0,0,0
u14724,1,0,0,0,0,0,0,0
u149303,1,2,2,4,1,0,1,1
u15161,0,0,0,0,1,0,0,0
u15499,0,0,0,0,0,0,1,0
u16025,0,0,0,1,0,0,0,0
u164307,0,1,0,2,0,0,4,1
u16477,0,0,0,2,0,0,0,0
u16483,0,0,0,1,0,0,0,0
u1680,1,0,0,3,0,0,3,0
u17071,0,0,0,0,0,0,0,1
u17107,0,0,0,0,1,0,0,0
u17125,0,1,0,1,1,0,2,0
u17460,0,0,0,1,0,0,0,0
u17854,0,0,0,2,0,0,0,0
u1831,0,2,0,3,0,0,0,1
u18450,6,6,6,5,8,2,13,1
u18463,0,0,0,1,0,0,0,0
u18583,0,0,0,2,0,0,0,0
u18951,1,1,0,0,0,0,0,0
u19445,0,0,0,1,0,0,0,0
u1958,1,3,0,3,0,0,3,1
u19626,0,0,0,1,0,0,0,0
u19742,0,1,1,1,0,0,0,0
u19952,0,0,0,1,0,0,0,0
u2133,0,0,0,1,0,0,0,0
u21349,0,0,0,0,0,0,1,0
u21450,0,0,0,1,0,0,0,0
u217989,0,0,0,2,1,0,2,0
u22735,0,0,0,1,0,0,0,0
u23058,0,0,0,1,0,0,0,0
u232730,0,0,0,1,0,0,0,0
u23531,0,0,0,2,0,0,0,0
u23650,1,0,0,2,0,0,0,0
u239287,1,2,0,5,8,0,2,0
u24285,1,4,0,3,0,0,2,0
u24454,0,0,0,1,0,0,0,0
u25189,0,0,0,1,0,0,0,0
u253503,0,0,0,0,0,0,1,0
u2539,0,0,0,0,0,0,1,0
u2562,1,0,0,1,0,0,0,0
u259922,1,1,0,4,0,0,1,1
u26670,0,0,0,1,0,0,0,0
u2740,0,2,0,1,0,0,3,0
u29504,0,0,0,0,1,0,0,0
u29610,0,1,0,3,0,0,0,1
u3171,0,0,0,1,0,0,0,0
u3243,1,0,0,3,0,0,0,0
u3250,0,1,0,2,0,0,0,0
u3278,0,0,0,3,3,0,0,1
u3632,0,0,0,2,0,0,0,0
u36766,0,1,0,1,0,0,0,0
u3729,1,0,0,1,0,0,0,0
u37868,0,0,0,2,0,0,1,1
u37877,0,1,0,2,0,0,0,1
u38034,1,0,0,1,0,0,0,0
u389350,0,0,0,1,0,0,0,0
u39811,0,0,0,2,0,0,1,0
u4011,0,0,0,0,0,0,1,0
u416424,0,0,0,1,0,0,0,0
u4497,1,0,0,1,0,0,0,0
u452313,1,0,0,0,0,0,0,0
u4543,1,1,0,2,0,0,0,1
u460607,0,0,0,1,0,0,0,0
u483645,1,0,0,3,1,0,0,0
u4902,0,0,0,1,0,0,0,0
u514679,1,0,0,0,0,0,0,0
u5284,0,2,0,0,0,0,0,0
u561267,0,0,0,1,0,0,0,0
u569572,0,0,0,0,0,0,1,0
u582294,0,0,0,0,1,0,0,0
u583895,1,0,0,0,0,0,0,0
u6152,2,2,0,4,1,0,0,0
u617110,1,0,0,0,0,0,0,0
u6173,0,0,0,1,0,0,0,0
u628596,0,1,0,2,0,0,0,1
u6346,0,0,0,2,1,0,0,0
u6359,0,0,0,0,1,0,1,0
u6381,0,0,0,1,0,0,0,0
u649358,2,0,0,0,0,0,0,0
u6497,0,0,0,1,0,0,0,0
u653854,1,1,0,1,0,0,0,1
u654834,4,2,0,2,2,0,0,1
u658409,0,0,0,1,0,0,0,0
u659542,1,0,0,0,0,0,0,0
u6622,0,0,0,2,0,0,1,0
u688967,0,0,0,2,0,0,0,0
u703612,1,1,0,4,1,0,1,0
u733204,1,1,1,3,0,0,0,1
u7358,0,0,0,1,0,0,0,0
u736734,0,1,1,3,2,0,3,0
u743088,0,0,1,3,1,0,2,0
u7529,1,0,0,1,0,0,0,1
u754,0,0,0,0,0,0,1,0
u7892,0,0,0,1,0,0,0,0
u7986,2,16,3,8,6,2,9,5
u8030,0,0,0,1,1,0,0,0
u8055,0,0,0,1,0,0,0,0
u811277,0,0,0,2,0,0,2,0
u814919,1,0,0,2,0,0,0,1
u821211,0,0,0,1,0,0,0,0
u8238,1,0,0,2,1,1,2,0
u827875,0,0,0,0,1,0,0,0
u8408,0,0,0,3,0,0,0,0
u851981,0,1,0,1,0,0,0,0
u8520,0,0,0,1,0,0,0,0
u885735,0,1,0,1,1,0,0,0
u896319,1,2,0,2,0,0,2,0
u905860,0,1,0,0,0,0,3,0
u906831,1,0,0,0,1,0,0,0
u913280,1,1,0,5,0,0,1,1
u915510,0,0,0,1,0,0,0,0
u916774,0,1,0,1,0,0,0,1
u916935,0,0,0,1,0,0,0,0
u942877,0,1,0,0,0,0,0,0
u9527,0,0,0,1,0,0,0,0
u956923,0,0,0,0,0,0,0,1
u972008,0,1,0,0,0,0,0,0
u972337,0,1,0,0,0,0,0,0
u978470,1,0,0,0,0,0,0,0
u988516,0,0,0,0,0,0,1,0
u994,0,2,1,1,0,0,0,0
u99531,1,4,0,4,9,0,2,1
u997851,0,0,0,3,0,0,0,0
