,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Anthropod,0.024639819459288316,-0.16477205647159318,0.5581797082868744,-1.6912086290286776,0.09079696352767949,0.36318785411071797
Bacteria,0.00038115370110934654,0.027557040652574034,0.5194632017313467,1.1898343601868662,0.23411150170005257,0.42274920915564174
Fungi,0.009284388925705938,0.15809769712091992,1.6396454630130184,-0.7345433712740543,0.4626176368997208,0.5585260487574574
Mammal,7011.116286774042,-0.22251381181592522,0.5052014740332867,-0.6923615710316844,0.4887102926627752,0.5585260487574574
Other,0.2842765359285507,0.002896999880618383,0.6028091588420738,-1.1815142854274188,0.2373984818584971,0.42274920915564174
Parasite,5.086159049976734,0.03764693783623721,2.023098834657635,-0.3133107394701019,0.7540445916838225,0.7540445916838225
Plant,0.024714646583354996,-0.14154971438744754,0.5589164963112725,-1.927214850912567,0.05395285994509374,0.36318785411071797
Virus,1.4754236861142875,0.31469914883609906,1.300919500581081,-1.1164764254871988,0.2642182557222761,0.42274920915564174
