sotu,isZoonotic,maxTaxonDistance,maxDiversity,numUniqueTaxOrders
u243431,False,0,0,0
u1680,False,37.0,4.784268547108539,7
u112435,False,0,0,0
u389350,False,0,0,1
u184358,False,0,0,0
u20448,False,0,0,0
u906831,False,19.0,1.9715864448689897,2
u5525,True,0,0,1
u18450,False,42.0,18.379551293203154,47
u12790,False,0,0,0
u24970,False,0,0,0
u3234,True,0,0,1
u6359,False,35.0,1.9991890325833204,2
u854923,False,0,0,0
u400723,False,0,0,0
u360560,False,0,0,0
u387312,False,0,0,0
u1065795,False,0,0,0
u12395,False,0,0,0
u654834,False,32.0,7.656419127962703,11
u649358,False,14.0,1.9157446588689526,2
u232730,False,0,0,1
u6854,False,0,0,0
u1620,True,0,0,0
u548,True,4.0,1.5344331207941075,3
u978625,False,0,0,0
u7358,False,0,0,1
u5284,False,2.0,1.219512195121951,2
u14847,False,0,0,0
u942877,False,0,0,1
u16491,False,0,0,0
u569572,False,0,0,1
u812996,False,0,0,0
u905860,False,20.0,2.6855187938762723,4
u939940,False,0,0,0
u7871,False,0,0,0
u217989,False,37.0,4.049911764742575,5
u222185,False,0,0,0
u646070,False,0,0,0
u39811,False,36.0,2.4179217047808725,3
u561267,False,0,0,1
u703495,False,0,0,0
u628596,False,29.0,3.305282672223474,4
u785530,False,0,0,0
u1958,False,37.0,7.078904495264928,11
u827875,False,0,0,1
u489994,False,0,0,0
u5157,False,0,0,0
u4537,True,4.0,1.4188422247446084,2
u918778,True,0,0,0
u26157,True,0,0,1
u696611,False,0,0,0
u22735,False,0,0,1
u26670,False,0,0,1
u8030,False,22.0,1.9853506975145552,2
u21450,False,0,0,1
u196758,False,0,0,0
u6497,False,0,0,1
u16477,False,4.0,1.4188422247446084,2
u23268,True,0,0,0
u2384,True,0,0,0
u733204,False,32.0,5.413153576264375,7
u508699,False,0,0,0
u3729,False,31.0,1.9980212555906887,2
u22066,True,0,0,0
u14724,False,0,0,1
u481710,False,0,0,0
u21649,False,0,0,0
u784352,False,0,0,0
u23650,False,30.0,2.415334593375317,3
u12743,False,0,0,0
u961361,True,42.0,5.992247992235431,7
u748646,True,0,0,1
u148722,True,0,0,1
u177462,True,0,0,0
u24190,True,0,0,0
u845135,True,30.0,1.9975271811229272,2
u2716,True,30.0,3.707403946694945,5
u6734,False,0,0,0
u419816,False,0,0,0
u866296,False,0,0,0
u617110,False,0,0,1
