nodeId,appId,taxId,labels,taxRank,taxOrder,hostClass
8778579,41938,41938,['Taxon'],order,Malvales,Plant
8778581,41944,41944,['Taxon'],order,Myrtales,Plant
8778578,41937,41937,['Taxon'],order,Sapindales,Plant
8778582,41945,41945,['Taxon'],order,Ericales,Plant
8759158,4036,4036,['Taxon'],order,Apiales,Plant
8759313,4209,4209,['Taxon'],order,Asterales,Plant
8759249,4143,4143,['Taxon'],order,Lamiales,Plant
8759188,4069,4069,['Taxon'],order,Solanales,Plant
8759177,4055,4055,['Taxon'],order,Gentianales,Plant
8946366,232378,232378,['Taxon'],order,Proteales,Plant
8758449,3244,3244,['Taxon'],order,Selaginellales,Plant
8766416,13792,13792,['Taxon'],order,Mamiellales,Plant
8758279,3042,3042,['Taxon'],order,Chlamydomonadales,Plant
8773060,35491,35491,['Taxon'],order,Sphaeropleales,Plant
8773049,35460,35460,['Taxon'],order,Chlorellales,Plant
8760124,5226,5226,['Taxon'],order,Auriculariales,Fungi
8768440,28997,28997,['Taxon'],order,Dacrymycetales,Fungi
8796834,62913,62913,['Taxon'],order,Georgefischeriales,Fungi
9349263,742846,742846,['Taxon'],order,Ceraceosorales,Fungi
9342752,716585,716585,"['Taxon', 'Host']",order,Acrospermales,Fungi
11014047,2714147,2714147,['Taxon'],order,Eremomycetales,Fungi
9707267,1217820,1217820,['Taxon'],order,Xylonales,Fungi
9137972,451442,451442,['Taxon'],order,Rhizophydiales,Fungi
8758207,2953,2953,['Taxon'],order,Gymnodiniales,Parasite
8820054,89954,89954,['Taxon'],order,Suessiales,Parasite
9169313,486728,486728,['Taxon'],order,Urostylida,Parasite
8767673,27998,27998,['Taxon'],order,Perkinsida,Parasite
