sourceAppId,Anthropod,Bacteria,Fungi,Mammal,Other,Parasite,Plant,Virus
u1013662,0,7,0,3,0,0,0,2
u1031306,0,6,0,0,0,0,0,0
u1051646,0,9,0,0,0,0,0,1
u1054557,0,4,0,0,0,0,0,0
u1073168,0,2,0,0,0,0,0,0
u10830,0,0,0,1,0,0,0,0
u111830,1,3,0,0,3,0,0,0
u118871,0,2,0,0,0,0,3,0
u12303,0,2,0,2,0,0,0,0
u12743,0,4,0,0,0,0,0,0
u14724,1,1,0,0,1,0,0,0
u149303,3,35,2,27,2,1,3,3
u15161,0,0,0,0,1,0,0,0
u15499,0,0,0,0,0,0,10,1
u15992,0,0,0,1,0,0,0,0
u16025,0,4,0,1,0,0,0,0
u164307,0,8,0,4,1,0,4,5
u16477,0,23,0,6,4,0,0,5
u16483,0,1,0,1,0,0,0,0
u16791,0,1,0,0,0,0,0,0
u1680,1,9,0,259,1,0,8,18
u17071,0,2,0,0,0,0,0,1
u17107,0,1,0,0,1,0,0,1
u17125,1,212,0,49,10,0,3,32
u17442,0,2,0,0,0,0,0,0
u17460,0,0,0,18,0,0,0,0
u17854,1,36,0,16,0,0,0,6
u1831,2,104,11,13,5,0,0,7
u184358,0,2,0,0,0,0,0,0
u18450,17,119,29,1765,60,2,149,67
u18463,0,0,0,4,0,0,0,0
u18583,0,0,0,3,0,0,0,0
u189209,0,9,0,0,1,0,0,4
u18951,1,10,0,0,0,0,0,0
u191472,0,5,0,0,0,0,0,0
u19445,0,1,0,1,0,0,0,0
u1958,1,59,0,27,9,0,4,10
u19626,0,0,0,2,0,0,0,0
u1971,0,1,0,0,0,0,0,0
u19742,2,1,1,1,0,0,0,0
u19952,0,7,0,5,0,0,0,0
u20448,0,43,0,0,0,0,0,0
u2133,0,0,0,3,0,0,0,0
u21349,0,0,1,0,0,0,3,0
u21450,0,1,0,1,1,0,0,0
u21558,0,1,0,0,0,0,0,0
u217989,2,17,0,6,4,0,2,6
u22509,0,1,0,0,0,0,0,0
u22735,0,8,0,5,1,0,0,4
u23058,0,0,0,1,0,0,0,0
u232264,0,3,0,0,0,0,0,0
u232730,0,0,0,1,0,0,0,0
u23531,0,0,0,2,0,0,0,0
u23650,1,0,0,7,0,0,0,0
u238213,0,0,0,0,0,0,0,1
u239287,4,95,0,37,22,0,5,13
u24121,0,13,0,0,1,0,0,0
u24285,6,348,1,72,9,0,7,52
u243431,0,2,0,0,0,0,0,0
u24454,0,5,0,1,0,0,0,0
u24970,0,2,0,0,0,0,0,0
u25133,0,2,1,0,0,0,0,0
u25189,0,2,0,1,0,0,0,0
u253503,0,3,0,0,0,0,1,0
u2539,0,1,0,0,0,0,1,0
u2562,3,4,0,1,0,0,0,0
u259922,2,77,0,26,4,0,1,23
u26670,0,0,0,2,0,0,0,0
u2740,0,9,0,7,0,0,6,0
u29403,0,1,0,1,0,0,0,0
u29504,0,1,0,0,2,0,0,0
u29610,1,44,0,35,0,0,1,5
u307751,0,2,0,1,0,0,0,0
u3171,0,14,0,5,0,0,0,0
u3243,5,7,0,8,1,0,0,1
u3250,0,14,0,23,0,0,0,2
u3278,0,6,0,42,5,0,0,2
u3632,0,30,0,13,1,0,0,6
u36766,3,4,0,1,0,0,0,1
u3729,1,1,0,15,0,0,0,0
u37868,0,59,0,12,1,0,3,13
u37877,0,14,0,22,0,0,0,3
u38034,1,1,0,1,0,0,0,0
u387312,0,5,0,0,1,0,0,0
u388976,0,1,0,0,0,0,0,0
u389350,0,0,0,11,0,0,0,0
u39811,0,5,0,3,0,0,1,1
u400723,0,5,0,0,0,0,0,0
u4011,0,0,0,0,0,0,1,0
u413034,0,0,0,0,2,0,0,0
u416424,0,16,0,3,2,0,0,3
u419816,0,2,0,2,0,0,0,0
u4497,1,4,0,1,0,0,0,0
u452313,14,1,0,0,0,0,0,0
u4543,1,61,0,19,3,0,0,29
u460607,0,31,0,8,0,0,1,1
u473002,2,3,0,0,1,0,1,0
u483645,1,2,0,87,2,0,1,0
u486314,0,0,0,0,4,0,0,0
u4902,0,0,0,1,0,0,0,0
u492552,0,4,0,1,0,0,0,0
u501640,0,1,0,0,0,0,0,0
u514679,1,0,0,0,0,0,0,0
u5172,0,0,0,0,0,0,1,0
u5284,2,4,0,1,1,0,0,0
u550190,0,0,0,0,3,0,0,0
u556668,0,1,0,0,0,0,0,0
u561267,0,0,0,1,0,0,0,0
u562401,1,0,0,0,0,0,1,0
u569572,0,1,0,0,0,0,1,0
u582294,0,7,0,0,2,0,0,2
u583895,1,0,0,0,0,0,0,0
u6152,3,148,0,51,8,0,1,36
u617110,2,1,0,0,0,0,0,0
u6173,0,9,0,4,1,0,0,15
u628596,0,15,0,5,0,0,0,2
u6331,0,2,0,0,0,0,0,0
u6346,0,4,0,21,1,0,0,3
u6359,0,0,0,0,1,0,4,0
u6381,0,0,0,1,0,0,0,0
u648909,1,0,0,0,0,0,0,0
u649358,31,8,0,2,0,0,0,1
u6497,0,3,0,3,2,0,0,0
u653854,3,13,0,107,0,3,0,32
u654834,69,22,4,7,16,0,4,1
u655660,0,4,0,0,0,0,0,2
u656057,0,1,0,1,0,0,0,0
u658409,0,0,0,1,0,0,0,0
u659542,1,0,0,0,0,0,0,0
u6622,0,2,0,5,0,0,5,0
u6734,1,4,0,2,0,0,0,0
u688967,0,3,0,6,0,0,0,0
u696611,0,1,0,0,0,0,0,1
u703495,0,0,0,0,0,0,2,1
u703612,1,18,1,14,4,0,2,0
u733204,3,34,1,114,3,0,0,2
u734031,0,2,0,0,0,0,0,0
u7358,0,0,0,1,0,0,0,0
u736734,0,5,3,149,5,0,16,19
u743088,0,8,1,31,3,0,5,9
u7529,1,15,0,95,0,0,0,59
u754,0,1,0,0,1,0,1,0
u770665,0,1,0,0,0,0,0,0
u7892,0,2,0,1,0,0,0,0
u7986,17,11067,5,2145,67,3,94,31429
u8030,1,5,0,4,1,0,0,1
u8055,0,1,0,1,0,0,0,0
u811277,0,1,0,6,0,0,2,0
u812996,0,3,0,0,0,0,0,0
u814919,7,0,0,4,0,0,0,3
u821211,0,2,0,1,0,0,0,0
u823254,0,8,0,0,1,0,1,0
u8238,1,0,0,155,3,2,4,0
u827875,0,0,0,0,1,0,0,0
u8408,0,0,0,4,1,0,1,0
u851981,0,28,0,1,2,0,0,3
u8520,0,3,0,3,0,0,0,2
u885735,0,45,0,3,8,0,0,1
u896319,1,82,0,19,2,0,5,19
u905860,0,20,0,0,0,0,10,0
u906831,1,0,0,0,14,0,0,0
u913280,3,24,0,20,3,0,3,11
u915510,0,0,0,1,0,0,0,0
u916774,0,1,0,1,0,0,0,1
u916935,0,1,0,3,1,0,1,0
u939940,0,0,0,0,0,0,1,1
u942877,0,1,0,0,0,0,0,0
u9527,0,0,0,2,0,0,0,0
u956923,0,0,0,3,0,0,0,4
u972008,0,1,0,0,0,0,0,0
u972337,0,3,0,1,0,0,0,1
u978470,5,0,0,0,0,0,0,0
u978625,0,1,0,0,0,0,0,0
u98207,0,2,0,0,0,0,0,0
u988516,0,0,0,0,0,0,2,0
u994,0,7,4,9,0,0,0,0
u99531,4,179,0,264,44,0,4,56
u9975,0,4,1,0,0,0,3,0
u997851,0,0,0,4,0,0,0,0
