,count,percent
Lecanorales,2,0.0006779661016949153
Anthoathecata,2,0.0006779661016949153
Nitrososphaerales,2,0.0006779661016949153
Russulales,2,0.0006779661016949153
Candidatus Brocadiales,2,0.0006779661016949153
Tubulavirales,2,0.0006779661016949153
Centrarchiformes,2,0.0006779661016949153
Cichliformes,2,0.0006779661016949153
Sordariales,2,0.0006779661016949153
Anabantiformes,2,0.0006779661016949153
Methylococcales,2,0.0006779661016949153
Blubervirales,2,0.0006779661016949153
Phaeocystales,2,0.0006779661016949153
Strigeidida,2,0.0006779661016949153
Aplysiida,2,0.0006779661016949153
Mycosphaerellales,2,0.0006779661016949153
Haloferacales,2,0.0006779661016949153
Acidaminococcales,2,0.0006779661016949153
Dothideales,2,0.0006779661016949153
Polyporales,2,0.0006779661016949153
Sphaeropleales,2,0.0006779661016949153
Glomerellales,2,0.0006779661016949153
Balanomorpha,2,0.0006779661016949153
Tetraodontiformes,2,0.0006779661016949153
Cytophagales,2,0.0006779661016949153
Nitrospirales,2,0.0006779661016949153
Thermoproteales,2,0.0006779661016949153
Cyprinodontiformes,2,0.0006779661016949153
Prymnesiales,2,0.0006779661016949153
Didelphimorphia,2,0.0006779661016949153
Thiotrichales,2,0.0006779661016949153
Elopiformes,1,0.00033898305084745765
Pollicipedomorpha,1,0.00033898305084745765
Cirlivirales,1,0.00033898305084745765
Aquificales,1,0.00033898305084745765
Glomerales,1,0.00033898305084745765
Hyphomonadales,1,0.00033898305084745765
Bunyavirales,1,0.00033898305084745765
Camarodonta,1,0.00033898305084745765
Ophiostomatales,1,0.00033898305084745765
Holophagales,1,0.00033898305084745765
Pelagomonadales,1,0.00033898305084745765
Mastigamoebida,1,0.00033898305084745765
Polypteriformes,1,0.00033898305084745765
Orthoptera,1,0.00033898305084745765
Batrachoidiformes,1,0.00033898305084745765
Holocentriformes,1,0.00033898305084745765
Lingulida,1,0.00033898305084745765
Crocodylia,1,0.00033898305084745765
Cellvibrionales,1,0.00033898305084745765
Naviculales,1,0.00033898305084745765
Thermococcales,1,0.00033898305084745765
Proboscidea,1,0.00033898305084745765
Hymenostomatida,1,0.00033898305084745765
Thermales,1,0.00033898305084745765
Bacillariales,1,0.00033898305084745765
Atheriniformes,1,0.00033898305084745765
Beloniformes,1,0.00033898305084745765
Pseudonocardiales,1,0.00033898305084745765
Characiformes,1,0.00033898305084745765
Hydrogenophilales,1,0.00033898305084745765
Gobiiformes,1,0.00033898305084745765
Valvatida,1,0.00033898305084745765
Scandentia,1,0.00033898305084745765
Durnavirales,1,0.00033898305084745765
Leptospirales,1,0.00033898305084745765
Accipitriformes,1,0.00033898305084745765
Selaginellales,1,0.00033898305084745765
Mugiliformes,1,0.00033898305084745765
Diprotodontia,1,0.00033898305084745765
Dasyuromorphia,1,0.00033898305084745765
Cantharellales,1,0.00033898305084745765
Chlorellales,1,0.00033898305084745765
Gentianales,1,0.00033898305084745765
Saprolegniales,1,0.00033898305084745765
Thalassiosirales,1,0.00033898305084745765
Peniculida,1,0.00033898305084745765
Onygenales,1,0.00033898305084745765
Sirenia,1,0.00033898305084745765
Gadiformes,1,0.00033898305084745765
Anguilliformes,1,0.00033898305084745765
Rajiformes,1,0.00033898305084745765
Forcipulatida,1,0.00033898305084745765
Calanoida,1,0.00033898305084745765
Peronosporales,1,0.00033898305084745765
Piroplasmida,1,0.00033898305084745765
Diplomonadida,1,0.00033898305084745765
Boletales,1,0.00033898305084745765
Sulfolobales,1,0.00033898305084745765
Candidatus Nanosynbacterales,1,0.00033898305084745765
Micromonosporales,1,0.00033898305084745765
Dictyosteliales,1,0.00033898305084745765
Tremellales,1,0.00033898305084745765
Spariformes,1,0.00033898305084745765
Labriformes,1,0.00033898305084745765
Carangiformes,1,0.00033898305084745765
Kurtiformes,1,0.00033898305084745765
Longamoebia,1,0.00033898305084745765
unclassified Bacteroidetes Order II.,1,0.00033898305084745765
Cingulata,1,0.00033898305084745765
Chattonellales,1,0.00033898305084745765
Synergistales,1,0.00033898305084745765
Magnaporthales,1,0.00033898305084745765
Pyrenomonadales,1,0.00033898305084745765
Desulfarculales,1,0.00033898305084745765
Synurales,1,0.00033898305084745765
Kordiimonadales,1,0.00033898305084745765
Desulfobacterales,1,0.00033898305084745765
Verrucariales,1,0.00033898305084745765
Halobacteriales,1,0.00033898305084745765
Myxococcales,1,0.00033898305084745765
