sotuTaxId,Non-vertebrate,Vertebrate
11020,1,0
11021,0,2
11033,4,2
11034,9,3
11036,8,3
11072,9,1
11080,2,1
11084,8,1
11089,2,2
11137,8,2
11263,2,3
11272,5,0
11277,51,14
11280,1,0
11292,27,8
11318,1,1
11320,214,51
11520,20,4
11569,14,3
12092,42,12
12104,17,4
12542,2,0
12637,22,5
12730,18,7
28875,85,27
28876,22,3
33743,0,1
35307,1,0
37124,2,1
40052,4,3
40057,1,0
40058,3,0
40059,2,1
44024,6,1
44025,2,0
44158,2,0
46839,12,1
54290,40,8
59300,15,3
59301,6,3
59302,3,1
59563,1,0
64285,1,0
64286,2,1
64293,3,5
64295,3,1
64320,15,3
77763,8,2
80939,2,0
118655,11,0
138948,1,0
138949,1,1
145856,525,77
162013,1,2
162145,15,2
164416,1,0
172314,4,3
206160,1,0
290008,1,1
291484,46,23
292278,5,1
318836,0,1
1678230,0,2
1980456,0,1
2169991,2,0
2560525,9,3
2905673,7,7
2905917,3,1
