sourceAppId,Non-vertebrate,Vertebrate
u1013662,6,1
u1031306,4,0
u1051646,3,0
u1054557,3,0
u1073168,2,0
u10830,0,1
u111830,4,1
u118871,2,0
u12303,2,2
u12743,2,0
u14724,2,1
u149303,24,5
u15161,0,1
u15499,2,0
u15992,0,1
u16025,2,1
u164307,10,3
u16477,6,2
u16483,1,1
u16791,1,0
u1680,12,3
u17071,3,0
u17107,2,1
u17125,20,2
u17442,2,0
u17460,0,1
u17854,12,2
u1831,21,3
u184358,2,0
u18450,59,13
u18463,0,2
u18583,0,3
u189209,6,0
u18951,5,0
u191472,4,0
u19445,1,1
u1958,20,4
u19626,0,1
u1971,1,0
u19742,4,1
u19952,4,1
u20448,8,0
u2133,0,1
u21349,2,0
u21450,2,1
u21558,1,0
u217989,10,3
u22509,1,0
u22735,5,1
u23058,0,1
u232264,3,0
u232730,0,1
u23531,0,2
u23650,1,2
u238213,1,0
u239287,26,13
u24121,6,0
u24285,26,4
u243431,2,0
u24454,3,1
u24970,2,0
u25133,3,0
u25189,2,1
u253503,4,0
u2539,2,0
u2562,6,1
u259922,22,5
u26670,0,1
u2740,9,1
u29403,1,1
u29504,2,0
u29610,17,4
u307751,2,1
u3171,5,1
u3243,8,4
u3250,4,2
u3278,5,5
u3632,10,2
u36766,5,1
u3729,2,1
u37868,12,3
u37877,7,2
u38034,2,1
u387312,4,0
u388976,1,0
u389350,0,1
u39811,7,2
u400723,3,0
u4011,1,0
u413034,1,0
u416424,6,1
u419816,2,1
u4497,4,1
u452313,4,0
u4543,13,4
u460607,8,1
u473002,6,0
u483645,3,4
u486314,1,0
u4902,0,1
u492552,2,1
u501640,1,0
u514679,1,0
u5172,1,0
u5284,6,2
u550190,1,0
u556668,1,0
u561267,0,1
u562401,2,0
u569572,2,0
u582294,6,1
u583895,1,0
u6152,25,9
u617110,2,0
u6173,9,2
u628596,4,2
u6331,2,0
u6346,4,3
u6359,1,1
u6381,0,1
u648909,1,0
u649358,13,2
u6497,4,1
u653854,8,1
u654834,26,7
u655660,4,0
u656057,1,1
u658409,0,1
u659542,1,0
u6622,3,2
u6734,4,1
u688967,2,3
u696611,2,0
u703495,3,0
u703612,15,6
u733204,15,3
u734031,2,0
u7358,0,1
u736734,11,4
u743088,10,4
u7529,7,1
u754,3,0
u770665,1,0
u7892,1,1
u7986,81,14
u8030,6,2
u8055,1,1
u811277,3,3
u812996,3,0
u814919,2,2
u821211,2,1
u823254,7,0
u8238,5,2
u827875,0,1
u8408,2,3
u851981,6,1
u8520,4,2
u885735,9,2
u896319,17,2
u905860,15,0
u906831,2,0
u913280,17,5
u915510,0,1
u916774,2,1
u916935,3,1
u939940,2,0
u942877,1,0
u9527,0,1
u956923,1,1
u972008,1,0
u972337,3,1
u978470,1,0
u978625,1,0
u98207,2,0
u988516,1,0
u994,6,1
u99531,32,18
u9975,5,0
u997851,0,3
