sotuTaxId,Non-vertebrate,Vertebrate
11041,4,3
11047,0,1
11048,7,3
11099,7,0
11241,2,3
11274,39,10
11303,6,1
11976,16,3
11978,3,5
28344,51,13
31612,8,2
31631,85,15
38143,1,1
40051,3,1
40054,2,1
40056,0,1
40062,6,2
40067,2,1
50713,2,0
54315,9,9
59305,2,0
64281,0,2
64283,1,0
64292,0,1
64294,3,1
64298,1,0
64299,1,1
64309,1,0
70566,0,1
92129,2,0
106333,25,8
106966,44,12
118140,75,34
147711,54,16
147712,12,6
154121,37,11
154122,2,3
161675,0,1
186540,3,0
204711,17,4
237020,11,2
249584,1,1
351073,24,5
352236,11,0
356862,2,0
358764,3,2
380434,4,1
380440,3,0
590647,2,1
629735,0,1
686984,35,12
688436,2,1
909207,1,1
1046251,2,1
1176484,3,7
1239566,13,4
1239567,175,25
1239574,14,5
1239577,23,0
1313215,10,2
1428581,2,0
1435485,20,4
1453410,2,0
1623310,1,0
1679172,2,2
1803956,21,4
1868658,2,1
1972568,4,0
1980493,2,0
2547358,1,0
2560580,59,13
2593991,4,0
2748252,1,0
2748253,5,0
2886894,0,1
