,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Anthropod,0.5302572019572283,0.038917113366759536,0.8969113725156439,4.638514006937789,3.5092315643805214e-06,5.614770503008834e-06
Bacteria,930.8124125156695,4.088113890350186,0.5259747370286121,-1.3557389103900597,0.17518225447693114,0.17518225447693114
Fungi,1.1141994805673077,-3.9807539951887163,2.3912200245561617,2.38314901951022,0.017165244176563083,0.019617421916072096
Mammal,0.025431865022950872,-0.17419854392777112,0.1723851521068423,7.033174854001235,2.0188610169319617e-12,4.0377220338639235e-12
Other,0.10451246946031414,-0.008257691509630025,0.49547308848099864,8.13744950193993,4.0369167934655373e-16,1.614766717386215e-15
Parasite,0.0003514290475430392,-0.14426950408889636,0.025792991652461687,7.167868179768335,7.617459429440645e-13,2.0313225145175053e-12
Plant,1.053817395891916,-0.22748266003551504,0.9320705736779614,4.131841000782589,3.598693243738321e-05,4.7982576583177615e-05
Virus,0.02532037246830548,0.40112933458289285,0.23140448814807943,12.461595297595544,1.209270992704702e-35,9.674167941637616e-35
