appId,labels,type,taxId,isZoonotic,hostClass,taxRank,communityId,taxOrder,displayLabel,pageRankSotu,louvainCommunityId,communityColorCodes,sourceAppId,hostCount,hostCountNormalized
u16954,"['Palmprint', 'SOTU']",SOTU,204269,True,nan,species,21,Reovirales,Reovirales,0.0,19,10,,,
u833164,"['Palmprint', 'SOTU']",SOTU,57482,True,nan,no rank,22,Mononegavirales,Mononegavirales,0.0,47,0,,,
u21161,"['Palmprint', 'SOTU']",SOTU,120499,False,nan,no rank,0,Mononegavirales,Mononegavirales,0.0,193,0,,,
u9003,"['Palmprint', 'SOTU']",SOTU,11272,True,nan,no rank,0,Mononegavirales,Mononegavirales,1.0,857,0,u9003,3.0,0.0
u998254,"['Palmprint', 'SOTU']",SOTU,11272,True,nan,no rank,23,Mononegavirales,Mononegavirales,0.0,50,1,,,
u286560,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,0,Mononegavirales,Mononegavirales,0.0,857,0,,,
u258874,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,0,Mononegavirales,Mononegavirales,2.0,208,0,u258874,1.0,0.0
u283774,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,24,Mononegavirales,Mononegavirales,0.0,857,2,,,
u85253,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,24,Mononegavirales,Mononegavirales,3.0,857,2,,,
u95886,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,24,Mononegavirales,Mononegavirales,0.0,857,2,,,
u174326,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,0,Mononegavirales,Mononegavirales,0.0,857,0,,,
u250044,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,0,Mononegavirales,Mononegavirales,1.0,857,0,u250044,1.0,0.0
u800160,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,0,Mononegavirales,Mononegavirales,0.0,208,0,u800160,1.0,0.0
u1054555,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,25,Mononegavirales,Mononegavirales,0.0,59,3,,,
u623416,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,26,Mononegavirales,Mononegavirales,0.0,60,4,,,
u977953,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,0,Mononegavirales,Mononegavirales,0.0,193,0,u977953,2.0,0.0
u726938,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,0,Mononegavirales,Mononegavirales,0.0,193,0,u726938,2.0,0.0
u199659,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,0,Mononegavirales,Mononegavirales,1.0,857,0,,,
u217334,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,0,Mononegavirales,Mononegavirales,0.0,857,0,,,
u570343,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,27,Mononegavirales,Mononegavirales,0.0,65,5,,,
u2833,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,0,Mononegavirales,Mononegavirales,2.0,857,0,u2833,14.0,10.0
u383314,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,28,Mononegavirales,Mononegavirales,1.0,208,6,u383314,2.0,0.0
u291421,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,0,Mononegavirales,Mononegavirales,0.0,857,0,,,
u954037,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,29,Mononegavirales,Mononegavirales,0.0,69,7,,,
u217152,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,0,Mononegavirales,Mononegavirales,1.0,857,0,,,
u179620,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,0,Mononegavirales,Mononegavirales,1.0,857,0,u179620,2.0,0.0
u217598,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,24,Mononegavirales,Mononegavirales,1.0,857,2,,,
u278844,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,0,Mononegavirales,Mononegavirales,2.0,857,0,u278844,1.0,0.0
u237274,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,0,Mononegavirales,Mononegavirales,1.0,857,0,,,
u48874,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,0,Mononegavirales,Mononegavirales,0.0,857,0,u48874,1.0,0.0
u8408,"['Palmprint', 'SOTU']",SOTU,11241,False,nan,species,0,Mononegavirales,Mononegavirales,1.0,282,0,u8408,3.0,0.0
u22509,"['Palmprint', 'SOTU']",SOTU,2547358,False,nan,species,11,Reovirales,Reovirales,1.0,19,0,,,
u16483,"['Palmprint', 'SOTU']",SOTU,249584,False,nan,species,0,Mononegavirales,Mononegavirales,0.0,857,0,u16483,1.0,0.0
u2793,"['Palmprint', 'SOTU']",SOTU,28876,True,nan,species,0,Reovirales,Reovirales,1.0,282,0,u2793,5.0,0.0
u25569,"['Palmprint', 'SOTU']",SOTU,28876,True,nan,species,0,Reovirales,Reovirales,1.0,282,0,u25569,1.0,0.0
u23246,"['Palmprint', 'SOTU']",SOTU,28876,True,nan,species,0,Reovirales,Reovirales,0.0,282,0,,,
