appId,labels,type,taxId,isZoonotic,hostClass,taxRank,communityId,taxOrder,displayLabel,pageRankSotu,louvainCommunityId,zoonoticColorCodes,communityColorCodes,sourceAppId,hostCount,hostCountNormalized
u17481,"['Palmprint', 'SOTU']",SOTU,318836,True,nan,no rank,0,Mononegavirales,u17481,0.17109101306987884,163.0,1,0,,,
u7529,"['Palmprint', 'SOTU']",SOTU,11976,False,nan,species,8,Picornavirales,u7529,0.17425189017111026,135.0,0,8,u7529,3.0,0.0
u956923,"['Palmprint', 'SOTU']",SOTU,11976,False,nan,species,33,Picornavirales,u956923,0.15000000000000002,44.0,0,0,u956923,1.0,0.0
u653854,"['Palmprint', 'SOTU']",SOTU,11976,False,nan,species,34,Picornavirales,u653854,0.15000000000000002,45.0,0,1,u653854,4.0,0.0
u16954,"['Palmprint', 'SOTU']",SOTU,204269,True,nan,species,35,Reovirales,u16954,0.20104247857858895,5.0,1,2,,,
u833164,"['Palmprint', 'SOTU']",SOTU,57482,True,nan,no rank,36,Mononegavirales,u833164,0.15000000000000002,47.0,1,3,,,
u21161,"['Palmprint', 'SOTU']",SOTU,120499,False,nan,no rank,37,Mononegavirales,u21161,0.1798324022346369,188.0,0,4,,,
u9003,"['Palmprint', 'SOTU']",SOTU,11272,True,nan,no rank,0,Mononegavirales,u9003,0.31401848287094436,163.0,1,0,u9003,2.0,0.0
u998254,"['Palmprint', 'SOTU']",SOTU,11272,True,nan,no rank,38,Mononegavirales,u998254,0.15000000000000002,50.0,1,5,,,
u286560,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,0,Mononegavirales,u286560,0.17322668504468514,163.0,1,0,,,
u258874,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,0,Mononegavirales,u258874,1.7330057758853674,163.0,1,0,u258874,1.0,0.0
u283774,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,0,Mononegavirales,u283774,0.19441685526084015,163.0,1,0,u283774,1.0,0.0
u85253,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,0,Mononegavirales,u85253,3.751773003394367,163.0,1,0,,,
u95886,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,0,Mononegavirales,u95886,0.16561524724263685,163.0,1,0,,,
u174326,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,0,Mononegavirales,u174326,0.2586031689403144,163.0,1,0,,,
u250044,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,0,Mononegavirales,u250044,0.43609894360550683,163.0,1,0,u250044,2.0,0.0
u800160,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,39,Mononegavirales,u800160,0.15000000000000002,58.0,1,6,u800160,1.0,0.0
u1054555,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,40,Mononegavirales,u1054555,0.15000000000000002,59.0,1,7,,,
u623416,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,41,Mononegavirales,u623416,0.15000000000000002,60.0,1,8,,,
u977953,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,42,Mononegavirales,u977953,0.15000000000000002,61.0,1,9,u977953,2.0,0.0
u726938,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,43,Mononegavirales,u726938,0.15000000000000002,62.0,1,10,,,
u199659,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,0,Mononegavirales,u199659,0.8655895716086571,163.0,1,0,,,
u217334,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,0,Mononegavirales,u217334,0.3619757289282028,163.0,1,0,u217334,1.0,0.0
u570343,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,44,Mononegavirales,u570343,0.15000000000000002,65.0,1,0,,,
u2833,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,0,Mononegavirales,u2833,0.21250674620334997,163.0,1,0,u2833,10.0,10.0
u383314,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,45,Mononegavirales,u383314,0.15000000000000002,67.0,1,1,u383314,2.0,0.0
u291421,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,0,Mononegavirales,u291421,0.3404662364343231,163.0,1,0,u291421,1.0,0.0
u954037,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,46,Mononegavirales,u954037,0.15000000000000002,69.0,1,2,,,
u217152,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,0,Mononegavirales,u217152,0.8111516599721913,163.0,1,0,,,
u179620,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,0,Mononegavirales,u179620,0.4073076508319911,163.0,1,0,u179620,2.0,0.0
u217598,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,0,Mononegavirales,u217598,1.1863851745459384,163.0,1,0,,,
u278844,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,0,Mononegavirales,u278844,1.218162528888925,163.0,1,0,u278844,1.0,0.0
u237274,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,0,Mononegavirales,u237274,0.4942523267453674,163.0,1,0,,,
u48874,"['Palmprint', 'SOTU']",SOTU,11277,True,nan,no rank,0,Mononegavirales,u48874,0.18554881737991136,163.0,1,0,u48874,1.0,0.0
u8408,"['Palmprint', 'SOTU']",SOTU,11241,False,nan,species,37,Mononegavirales,u8408,0.25882502106675825,188.0,0,4,u8408,3.0,0.0
u22509,"['Palmprint', 'SOTU']",SOTU,2547358,False,nan,species,19,Reovirales,u22509,0.8403214016893704,5.0,0,8,,,
